player_id,player_name,positions,def_int,def_sacks,def_tackles,def_tackles_solo,def_td,def_tfl,fumbles,gp,kr_td,kr_yds,pass_att,pass_cmp,pass_int,pass_sacked,pass_td,pass_yds,pr_yds,recv_rec,recv_td,recv_tgt,recv_yds,rush_att,rush_td,rush_yds
stanley-aronokhale,Stanley Aronokhale,DL,,,3.0,3.0,,,,1.0,,,,,,,,,,,,,,,,
stanley-zeregbe,Stanley Zeregbe,DL/LB,,,1.0,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,
stefan-maiacher,Stefan Maiacher,,,,,,,,,1.0,,,,,,,,,,,,,,,,
steven-krajewski,Steven Krajewski,QB,,,,,,,,1.0,,,36.0,27.0,1.0,1.0,3.0,331.0,,1.0,,1.0,8.0,3.0,,6.0
steven-nielsen,Steven Nielsen,OL,,,,,,,,1.0,,,,,,,,,,,,,,,,
sylvain-fousse,Sylvain Fousse,,,,,,,,,1.0,,,,,,,,,,,,,,,,
tambo-sow,Tambo Sow,,,,,,,,,1.0,,,,,,,,,,,,,,,,
taslim-gaye,Taslim Gaye,,,,,,,,,1.0,,,,,,,,,,,,,,,,
tassilo-wagner,Tassilo Wagner,,,,,,,,,1.0,,,,,,,,,,,,,,,,
theo-mossinger,Theo Mössinger,,,,,,,,,1.0,,,,,,,,,,,,,,,,
tim-steins,Tim Steins,,,,,,,,,1.0,,,,,,,,,,,,,,,,
tim-tonko,Tim Tonko,,,,,,,,,1.0,,,,,,,,,,2.0,,3.0,29.0,5.0,,23.0
tim-unger,Tim Unger,LB,,,4.0,4.0,,,,1.0,,,,,,,,,,,,,,,,
tobias-bonatti,Tobias Bonatti,RB,,,,,,,,1.0,,,,,,,,,,,,,,7.0,,23.0
tobias-rodlauer,Tobias Rodlauer,,,,,,,,,1.0,,,,,,,,,,,,,,,,
tobias-vorreiter,Tobias Vorreiter,,,,,,,,,1.0,,,,,,,,,,,,,,,,
toby-naylor,Toby Naylor,,,,2.0,2.0,,,,1.0,,,,,,,,,,,,,,,,
tomas-jencek,Tomáš Jenček,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,
tomas-nguyen,Tomáš Nguyen,,,,,,,,,1.0,,,,,,,,,,,,,,,,
tomas-panyr,Tomáš Panýr,,,,,,,,,1.0,,,,,,,,,,,,,,,,
tomas-pazourek,Tomáš Pazourek,LB,,,5.0,5.0,,,,1.0,,,,,,,,,,,,,,,,
toni-rabensteiner,Toni Rabensteiner,WR,,,,,,,,1.0,,,,,,,,,,1.0,1.0,1.0,25.0,,,
tony-anderson,Tony Anderson,LB/S,,,4.0,4.0,,,,1.0,,,,,,,,,,,,,,,,
tyler-foster,Tyler Foster,,,,,,,,,1.0,,40.0,,,,,,,,2.0,,5.0,18.0,,,
victor-stoffel,Victor Stoffel,,,,,,,,,1.0,,,,,,,,,,,,,,,,
vincent-lutz,Vincent Lutz,,,,,,,,,1.0,,,,,,,,,,,,,,,,
wael-nasri,Wael Nasri,LB,,,5.0,5.0,,,,1.0,,,,,,,,,,,,,,,,
wesley-guilford,Wesley Guilford,LB,,,5.0,5.0,,,,1.0,,,,,,,,,,,,,,,,
william-patterson,William Patterson,WR,,,,,,,,1.0,,,,,,,,,,5.0,,7.0,74.0,1.0,,-5.0
yani-gouadfel,Yani Gouadfel,DB/LB,,1.0,7.0,7.0,,,,1.0,,,,,,,,,,,,,,,,
zach-edwards-2,Zach Edwards,QB,,,,,,,,1.0,,,24.0,12.0,2.0,3.0,2.0,210.0,,,,,,16.0,1.0,61.0
zakaria-oueldsidi,Zakaria Oueldsidi,,,,,,,,,1.0,,,,,,,,,,,,,,,,
zinedin-bendjabou,Zinedin Bendjabou,WR,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,
cenek-capka,Čeněk Čapka,,,,,,,,,1.0,,,,,,,,,,,,,,,,
simon-skrabis,Šimon Škrabiš,LB,,,5.0,5.0,,1.0,,1.0,,,,,,,,,,,,,,,,
