player_id,player_name,positions,pass_att,pass_cmp,pass_gp,pass_int,pass_td,pass_yds,recv_gp,recv_rec,recv_td,recv_yds,rush_att,rush_gp,rush_td,rush_yds
david-ungerer,David Ungerer,DB,,,,,,,14.0,15.0,1.0,187.0,,,,
david-watford-2,David Watford,RB,,,,,,,,,,,24.0,6.0,,96.0
delance-turner,De'Lance Turner,RB,,,,,,,4.0,5.0,,13.0,36.0,4.0,,187.0
devier-posey-2,DeVier Posey,DB,,,,,,,1.0,1.0,,4.0,,,,
declan-cross-2,Declan Cross,DB,,,,,,,14.0,4.0,,36.0,,,,
dejon-brissett,Dejon BRISSETT,WR,,,,,,,14.0,9.0,,131.0,,,,
derel-walker-2,Derel Walker,DB,,,,,,,11.0,44.0,,531.0,,,,
devlin-hodges-2,Devlin Hodges,RB,,,,,,,,,,,9.0,4.0,,38.0
devonte-dedmon-2,Devonte Dedmon,DB,,,,,,,11.0,11.0,,103.0,10.0,11.0,1.0,68.0
dion-pellerin,Dion Pellerin,WR/FB,,,,,,,14.0,2.0,,11.0,,,,
dominique-davis,Dominique Davis,QB,,,,,,,,,,,17.0,6.0,1.0,69.0
dominique-rhymes-2,Dominique Rhymes,DB,,,,,,,8.0,28.0,1.0,411.0,,,,
don-jackson,Don Jackson,DB,,,,,,,4.0,8.0,1.0,94.0,44.0,4.0,1.0,245.0
dres-anderson,Dres Anderson,WR,,,,,,,4.0,8.0,,117.0,,,,
drew-wolitarsky-2,Drew Wolitarsky,DB,,,,,,,14.0,32.0,1.0,386.0,,,,
dru-brown-2,Dru Brown,RB,,,,,,,,,,,7.0,2.0,,44.0
earnest-edwards,Earnest Edwards,WR/RB,,,,,,,7.0,15.0,1.0,168.0,2.0,7.0,,7.0
eric-rogers-2,Eric Rogers,DB,,,,,,,6.0,25.0,3.0,346.0,,,,
eugene-lewis-2,Eugene Lewis,DB,,,,,,,13.0,62.0,9.0,964.0,,,,
felix-garand-gauthier,Felix Garand-Gauthier,RB/FB,,,,,,,,,,,1.0,11.0,,1.0
greg-ellingson-2,Greg Ellingson,DB,,,,,,,10.0,47.0,1.0,687.0,1.0,10.0,,4.0
hergy-mayala,Hergy Mayala,WR/RB,,,,,,,13.0,29.0,,284.0,1.0,13.0,,-1.0
isaac-harker-2,Isaac Harker,RB,,,,,,,,,,,3.0,14.0,,14.0
jackson-bennett-2,Jackson Bennett,DB,,,,,,,13.0,5.0,,30.0,17.0,13.0,,72.0
jacob-scarfone,Jacob Scarfone,WR,,,,,,,14.0,6.0,1.0,85.0,,,,
jaelon-acklin-2,Jaelon Acklin,DB,,,,,,,14.0,50.0,4.0,678.0,1.0,14.0,,5.0
jake-harty,Jake Harty,WR,,,,,,,14.0,1.0,,5.0,,,,
jake-maier-2,Jake Maier,RB,,,,,,,11.0,1.0,,6.0,16.0,11.0,2.0,31.0
jake-wieneke-2,Jake Wieneke,DB,,,,,,,14.0,56.0,11.0,898.0,,,,
jalen-tolliver,Jalen Tolliver,WR,,,,,,,12.0,29.0,4.0,383.0,,,,
jalin-marshall,Jalin Marshall,DB,,,,,,,1.0,2.0,,20.0,,,,
jamal-morrow,Jamal Morrow,RB,,,,,,,8.0,3.0,,29.0,9.0,8.0,,41.0
james-butler,James BUTLER,RB,,,,,,,11.0,39.0,1.0,243.0,101.0,11.0,2.0,497.0
james-tuck-2,James Tuck,DB,,,,,,,14.0,3.0,,45.0,,,,
james-wilder-jr,James Wilder Jr.,RB,,,,,,,12.0,28.0,1.0,226.0,142.0,12.0,2.0,770.0
jeremiah-masoli,Jeremiah MASOLI,QB,271.0,188.0,12.0,6.0,10.0,2445.0,,,,,28.0,12.0,1.0,184.0
jeshrun-antwi,Jeshrun ANTWI,RB,,,,,,,14.0,6.0,,46.0,36.0,14.0,,176.0
