player_id,player_name,positions,def_ast,def_int,def_lg,def_pd,def_qbh,def_sack,def_solo,def_td,def_tot,def_yds,def_ydsl,field_goal_yards,interceptions_lost,interceptions_made,made_19,misc_fum,misc_td,missed,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,recv_fd,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_fc,ret_lg,ret_net,ret_num,ret_ret,ret_ryds,ret_tb,ret_td,ret_yds,rush_att,rush_lg,rush_td,rush_yds,rushing_tds,rushing_yards,sacks,score_conv,score_fr,score_ir,score_kr,score_p,score_pr,score_pts,score_r,score_saf,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
darvin-adams,Darvin Adams,WR,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,2.0,683.0,45.0,,441.0,63.0,106.0,2.0,233.0,949.0,,,,,,,,,,,,,,,,,1.0,,,,2.0,,14.0,,,2.0,,,,,,
david-brown,David Brown,OL/WR,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
david-cote,David Côté,K,,,,,,,,,,,,1240.0,,,2.0,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
david-côté,David Côté,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1382.0,,77.0,72.0,1544.0,,1.0,4781.0,,,,,,,,,,,,,,191.0,,,,58.0,50.0,810.0,190.0,41.0,40.0
david-foucault,David Foucault,OL,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
david-kenney,David Kenney,DE/LB,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
david-mackie,David Mackie,FB/RB,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,0.0,27.0,4.0,,27.0,6.0,7.0,,26.0,41.0,,,,,,,,,,19.0,29.0,1.0,94.0,0.0,3.0,,,,,,,,6.0,1.0,,1.0,,,,,,
david-ménard,David Ménard,DB,,,,,,10.0,18.0,,18.0,,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
david-ungerer-iii,David UNGERER III,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,167.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
david-ungerer,David Ungerer,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.0,16.0,21.0,1.0,75.0,225.0,,15.0,,3.0,,,,,15.0,,,,,,,,,,,,1.0,,6.0,,,1.0,,,,,,
davis-alexander,Davis ALEXANDER,QB,,,,,,,,,,,,,,,,,,,13.0,8.0,1.0,16.0,,,,89.0,,,,,,,,,,,,,,,,,,,,,,,5.0,10.0,1.0,22.0,,,,,,,,,,6.0,1.0,,1.0,,,,,,
davon-coleman,Davon Coleman,DB/DT,,,,,,4.0,16.0,,16.0,,44.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,6.0,,,1.0,,,,,,
demarcus-christmas,DeMarcus Christmas,DB/DL,,,,,,1.0,22.0,,22.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devontres-dukes,DeVontres Dukes,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.0,11.0,14.0,1.0,23.0,112.0,,,,,,,,,,,,,,,,,,,,,1.0,,6.0,,,1.0,,,,,,
deatrick-nichols,Deatrick Nichols,CB/DB,,1.0,5.0,,,,47.0,,47.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
declan-cross,Declan Cross,FB/RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,22.0,2.0,,17.0,2.0,3.0,,11.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dedrick-mills,Dedrick MILLS,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.0,13.0,18.0,,74.0,105.0,,,,,,,,,,69.0,142.0,2.0,475.0,,,,,,,,,,12.0,2.0,,2.0,,,,,,
deionte-knight,Deionte Knight,DB/DL,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dejon-allen,Dejon Allen,OL,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dejon-brissett,Dejon BRISSETT,WR,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,0.0,20.0,3.0,,33.0,10.0,16.0,1.0,12.0,102.0,,68.0,,5.0,,,,,68.0,,,,,,,,,,,,1.0,,6.0,,,1.0,,,,,,
delvin-breaux,Delvin Breaux,DB,,,,,,,23.0,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demerio-houston,Demerio Houston,DB,,2.0,33.0,,,,27.0,,27.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deon-jackson,Deon Jackson,RB,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,1.0,,1.0,175.0,26.0,,,,,,,,,,,,,,,,,,,,,1.0,256.0,,,,,,,,,,,,,,,,,
deon-lacey,Deon Lacey,LB,,,,,,,20.0,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
derek-wiggan,Derek Wiggan,DB/DL,,,,,,1.0,25.0,,25.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
derel-walker,Derel Walker,WR,,,,,,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,1.0,708.0,54.0,,361.0,65.0,114.0,1.0,309.0,874.0,,,,,,,,,,,,,,,,,,,,,1.0,,6.0,,,1.0,,,,,,
derrick-moncrief,Derrick Moncrief,LB,,4.0,39.0,,,,50.0,,50.0,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
des-lawrence,Des Lawrence,DB,,1.0,2.0,,,,12.0,,12.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deshawn-stevens,Deshawn Stevens,DB/LB,,,,,,,7.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devonte-dedmon,Devonte DEDMON,RB/WR,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,0.0,39.0,5.0,,39.0,8.0,8.0,,48.0,58.0,,179.0,,14.0,,,,,288.0,2.0,5.0,,5.0,0.0,5.0,,,,,,,,,,,,,,,,,
devonte-williams,Devonte Williams,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,143.0,21.0,,91.0,27.0,33.0,,85.0,159.0,,,,,,,,,,90.0,112.0,,454.0,0.0,311.0,,,,,,,,,,,,,,,,,
dewayne-hendrix,Dewayne Hendrix,DB/DL,,,,,,3.0,40.0,,40.0,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dieuly-aristilde,Dieuly Aristilde,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dillon-mitchell,Dillon MITCHELL,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.0,35.0,57.0,4.0,206.0,637.0,,64.0,,11.0,,,,,110.0,1.0,13.0,,13.0,,,,,,,,4.0,,24.0,,,4.0,,,,,,
dionte-ruffin,Dionté Ruffin,DB,,1.0,,,,,39.0,,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dominique-davis,Dominique Davis,QB,,,,,,,,,,,,,1.0,,,,,,25.0,19.0,2.0,47.0,,,3.0,253.0,1.0,87.0,,0.0,0.0,0.0,,,,1.0,,,,,,,,,,,,,66.0,47.0,14.0,113.0,12.0,98.0,,1.0,,,,,,86.0,14.0,,14.0,,,,,,
dominique-rhymes,Dominique RHYMES,WR,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,9.0,1175.0,72.0,,516.0,91.0,135.0,11.0,256.0,1515.0,,,,1.0,,,,,,,,,,,,,,,,,11.0,,66.0,,,11.0,,,,,,
don-jackson,Don Jackson,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.0,32.0,42.0,1.0,191.0,227.0,,,,,,,,,,78.0,100.0,1.0,299.0,,,,,,,,1.0,,12.0,1.0,,2.0,,,,,,
donald-rutledge,Donald Rutledge,DB,,1.0,25.0,,,2.0,58.0,,58.0,25.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
donovan-olumba,Donovan Olumba,DB,,1.0,54.0,,,,,,,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
douglas-coleman,Douglas Coleman,LB,,,,,,1.0,18.0,,18.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
drew-wolitarsky,Drew WOLITARSKY,WR,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,403.0,31.0,,239.0,39.0,53.0,1.0,93.0,506.0,,,,,,,,,,,,,,,,,,,,,1.0,,6.0,,,1.0,,,,,,
dru-brown,Dru Brown,QB,,,,,,,,,,,,,3.0,,,,,,51.0,34.0,2.0,69.0,47.0,5.0,5.0,464.0,5.0,468.0,,,,,,,,,,,,,,,,,,,,,19.0,19.0,3.0,39.0,3.0,36.0,,,,,,,,18.0,3.0,,3.0,,,,,,
duron-carter,Duron Carter,DB,,1.0,17.0,,,,16.0,,16.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0,,8.0,,,,,84.0,,,,,,,,,,,,,,,,,,,,,,,
dylan-wynn,Dylan Wynn,DB/DT,,,,,,4.0,31.0,,31.0,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edm-dst,EDM DST,DST,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,407.0,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,
edm-qb,EDM QB,QB,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,14.0,2551.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ed-gainey,Ed Gainey,DB,,1.0,13.0,,,,47.0,,47.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.0,,3.0,,,,,-3.0,,,,,,,,,,,,,,,,,,,,,,,
eli-bouka,Eli Bouka,DB,,1.0,,,,,17.0,1.0,17.0,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,6.0,,,1.0,,,,,,
elliot-graham,Elliot Graham,DB/DL,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
emmanuel-arceneaux,Emmanuel Arceneaux,SB/WR,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,1.0,428.0,36.0,,255.0,39.0,52.0,1.0,227.0,512.0,,,,,,,,,,,,,,,,,,,,,1.0,,6.0,,,1.0,,,,,,
emmanuel-butler,Emmanuel Butler,WR,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,0.0,30.0,3.0,,12.0,3.0,5.0,,8.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
enoch-penney-laryea,Enoch Penney-Laryea,LB,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,6.0,,,1.0,,,,,,
enock-makonzo,Enock Makonzo,DB/LB,,,,,,2.0,57.0,,57.0,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eric-rogers,Eric Rogers,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,30.0,3.0,,16.0,3.0,4.0,,5.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eric-sutton,Eric Sutton,DB,,,,,,,7.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ese-mrabure-ajufo,Ese Mrabure-Ajufo,DB,,,,,,1.0,16.0,,16.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eugene-lewis,Eugene LEWIS,WR,,,,,,,5.0,,5.0,,,,1.0,,,,,,2.0,,1.0,,,,,,0.0,0.0,,9.0,1195.0,82.0,,510.0,103.0,160.0,10.0,439.0,1484.0,,,,,,,,,,,,,,,,,2.0,,,,10.0,,64.0,,,10.0,,,,,,
evan-holm,Evan Holm,DB,,1.0,21.0,,,,21.0,,21.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,,2.0,,,,,46.0,,,,,,,,,,,,,,,,,,,,,,,
evan-johnson,Evan Johnson,OL,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
felix-garand-gauthier,Felix Garand-Gauthier,FB/RB,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,0.0,163.0,7.0,,162.0,9.0,11.0,,113.0,190.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
folarin-orimolade,Folarin Orimolade,DB/DL,,1.0,,,,8.0,43.0,1.0,43.0,28.0,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,2.0,,,,,3.0,,,,,,,,,,1.0,,,,6.0,,,1.0,,,,,,
frankie-griffin,Frankie Griffin,LB,,,,,,,34.0,,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frankie-hickson,Frankie Hickson,RB,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,0.0,76.0,15.0,,98.0,18.0,21.0,,95.0,106.0,,105.0,,7.0,,,,,168.0,85.0,134.0,1.0,533.0,1.0,372.0,,,,,,,,6.0,1.0,,1.0,,,,,,
fraser-sopik,Fraser Sopik,LB,,,,,,2.0,16.0,,16.0,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
garrett-marino,Garrett Marino,DB/DL/DT,,,,,,1.0,7.0,,7.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
garry-peters,Garry Peters,DB,,5.0,8.0,,,,47.0,,47.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gary-johnson,Gary Johnson,LB,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
george-obinna,George Obinna,DL/LB,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
godfrey-onyeka,Godfrey Onyeka,DB,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
greg-ellingson,Greg Ellingson,WR,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,2.0,501.0,33.0,,247.0,42.0,58.0,3.0,111.0,644.0,,,,,,,,,,,,,,,,,,,,,3.0,,18.0,,,3.0,,,,,,
greg-mccrae,Greg McCrae,RB,,,,,,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,1.0,147.0,13.0,,69.0,16.0,23.0,1.0,47.0,164.0,,8.0,,2.0,,,,,8.0,21.0,118.0,,164.0,0.0,164.0,,,,,,1.0,,6.0,,,1.0,,,,,,
greg-reid,Greg Reid,DB,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gregor-mackellar,Gregor Mackellar,OL,,,,,,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ham-dst,HAM DST,DST,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,329.0,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,,,,,,,,,,,,,,,,
ham-qb,HAM QB,QB,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,5.0,628.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hakeem-bailey,Hakeem Bailey,DB,,1.0,5.0,,,,13.0,,13.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hakeem-butler,Hakeem Butler,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1.0,4.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hakeem-johnson,Hakeem Johnson,DB,,,,,,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
henoc-muamba,Henoc Muamba,LB,,3.0,24.0,,,3.0,86.0,,86.0,28.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hergy-mayala,Hergy Mayala,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,349.0,28.0,,300.0,33.0,52.0,2.0,85.0,409.0,,,,,,,,,,,,,,,,,,,,,2.0,,12.0,,,2.0,,,,,,
isaac-adeyemi-berglund,Isaac Adeyemi-Berglund,DB/DL,,,,,,8.0,20.0,,20.0,,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,1.0,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,
isaiah-wright,Isaiah Wright,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,2.0,3.0,,12.0,26.0,,104.0,,7.0,,,,,169.0,,,,,,,,,,,,,,,,,,,,,,,
j-min-pelley,J-Min Pelley,DB/DL,,,,,,,11.0,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jagared-davis,Ja'Gared Davis,DB,,,,,,7.0,37.0,,37.0,,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,,,,,,,
jabari-ellis,Jabari Ellis,DB/DL/DT,,,,,,,2.0,,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,6.0,,,1.0,,,,,,
jachai-polite,Jachai Polite,DL/LB,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jack-cassar,Jack Cassar,LB,,,,,,,14.0,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jackson-bennett,Jackson Bennett,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,61.0,11.0,,58.0,15.0,18.0,,62.0,86.0,,109.0,,8.0,,,,,160.0,50.0,78.0,,234.0,0.0,188.0,,,,,,,,,,,,,,,,,
jackson-jeffcoat,Jackson Jeffcoat,DB/DE,,1.0,10.0,,,6.0,24.0,,24.0,10.0,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jacob-dolegala,Jacob Dolegala,QB,,,,,,,,,,,,,,,,,,,35.0,16.0,2.0,61.0,8.0,1.0,1.0,154.0,,,,,,,,,,,,,,,,,,,,,,,2.0,7.0,,12.0,,,,,,,,,,,,,,,,,,,
jacob-ruby,Jacob Ruby,OL,,,,,,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jacob-scarfone,Jacob Scarfone,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,124.0,9.0,,80.0,10.0,14.0,1.0,35.0,131.0,,,,,,,,,,,,,,,,,,,,,1.0,,6.0,,,1.0,,,,,,
jaelon-acklin,Jaelon Acklin,WR,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,2.0,1009.0,59.0,,426.0,74.0,115.0,2.0,362.0,1118.0,,,,,,,,,,,,,,,,,,,,,2.0,,12.0,,,2.0,,,,,,
jake-burt,Jake Burt,FB/WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,35.0,3.0,,35.0,4.0,7.0,,17.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jake-ceresna,Jake Ceresna,DB/DL,,,,,,10.0,31.0,,31.0,,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jake-dolegala,Jake Dolegala,QB,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,1.0,154.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,12.0,,,,,,,,,,,,,,,,,
jake-harty,Jake Harty,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,11.0,14.0,,11.0,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jake-maier,Jake Maier,QB,,,,,,,,,,,,,6.0,,,,,,299.0,219.0,7.0,366.0,48.0,9.0,14.0,2527.0,10.0,1759.0,,,,,,,,,,,,,,,,,,,,,9.0,47.0,,53.0,0.0,39.0,,,,,,,,,,,,,,,,,
jake-thomas,Jake Thomas,DB/DT,,,,,,4.0,16.0,,16.0,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jake-wieneke,Jake Wieneke,WR,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,2.0,534.0,41.0,,325.0,54.0,77.0,3.0,195.0,696.0,,,,,,,,,,,,,,,,,1.0,,,,3.0,,20.0,,,3.0,,,,,,
jakob-prall,Jakob Prall,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,77.0,7.0,,79.0,9.0,15.0,,21.0,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jalen-collins,Jalen Collins,DB,,,,,,,12.0,,12.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,6.0,,,1.0,,,,,,
jalen-morton,Jalen Morton,QB,,,,,,,1.0,,1.0,,,,,,,,,,6.0,2.0,1.0,9.0,1.0,1.0,,13.0,,,,,,,,,,,,,,,,,,,,,,,5.0,12.0,,14.0,,,,,,,,,,,,,,,,,,,
jalen-philpot,Jalen PHILPOT,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.0,24.0,34.0,3.0,116.0,322.0,,385.0,,25.0,,,,,676.0,10.0,95.0,,102.0,,,,,,,,3.0,,18.0,,,3.0,,,,,,
jalin-marshall,Jalin Marshall,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,44.0,10.0,18.0,2.0,21.0,62.0,,103.0,,10.0,,,,,188.0,,,,,,,,,,,,2.0,,12.0,,,2.0,,,,,,
jalon-edwards-cooper,Jalon Edwards-Cooper,DB,,,,,,,17.0,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jamal-davis,Jamal Davis,DB,5.0,,,,2.0,2.0,14.0,,19.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jamal-morrow,Jamal Morrow,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,311.0,35.0,,176.0,43.0,50.0,1.0,312.0,366.0,,169.0,,17.0,,,,,358.0,126.0,227.0,3.0,666.0,1.0,477.0,,2.0,,,,1.0,,28.0,3.0,,4.0,,,,,,
jamal-parker,Jamal Parker,DB,,1.0,37.0,,,1.0,42.0,,42.0,51.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,,4.0,,,,,104.0,,,,,,,,,,,,,,,,,,,,,,,
jamal-peters,Jamal Peters,DB,,6.0,39.0,,,1.0,64.0,1.0,64.0,137.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,6.0,,,1.0,,,,,,
jameer-thurman,Jameer Thurman,DB/LB,,3.0,33.0,,,1.0,83.0,,83.0,33.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
james-butler,James BUTLER,RB,,,,,,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,4.0,365.0,49.0,,173.0,57.0,65.0,4.0,376.0,416.0,,,,,,,,,,236.0,258.0,7.0,1159.0,7.0,1003.0,,,,,,4.0,,66.0,7.0,,11.0,,,,,,
james-hornbuckle,James Hornbuckle,DB,,,,,,5.0,21.0,,21.0,,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
james-smith,James Smith,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.0,,18.0,13.0,145.0,,,795.0,,,,,,,,,,,,,,,,,,,,,,,
james-tuck,James Tuck,FB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,38.0,4.0,,33.0,4.0,5.0,,20.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
james-wilder-jr,James Wilder Jr.,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,82.0,8.0,,39.0,9.0,9.0,,85.0,90.0,,,,,,,,,,28.0,30.0,,124.0,0.0,84.0,,,,,,,,,,,,,,,,,
jamie-harry,Jamie Harry,DB,,,,,,,19.0,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
