player_id,player_name,positions,def_ast,def_int,def_lg,def_pd,def_sack,def_solo,def_td,def_tot,def_yds,def_ydsl,misc_td,pass_20,pass_att,pass_cmp,pass_fd,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,recv_20,recv_fd,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_fc,ret_lg,ret_num,ret_ret,ret_ryds,ret_td,ret_yds,rush_att,rush_fd,rush_lg,rush_td,rush_yds,score_conv,score_fr,score_ir,score_kr,score_p,score_pr,score_pts,score_r,score_saf,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
derrick-moncrief,Derrick Moncrief,LB,1.0,,,,4.0,26.0,,27.0,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
des-lawrence,Des Lawrence,DB,,2.0,27.0,,1.0,25.0,,25.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devlin-hodges,Devlin Hodges,QB,,,,,,1.0,,1.0,,,,2.0,57.0,27.0,5.0,2.0,59.0,12.0,3.0,,224.0,,,,,,,,,,,,,,,,10.0,,19.0,,41.0,,,,,,,,,,,,,,,,
devonte-dedmon,Devonte DEDMON,WR/RB,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,99.0,11.0,13.0,,85.0,103.0,,460.0,49.0,,,3.0,1223.0,10.0,,48.0,1.0,68.0,,,,1.0,,2.0,24.0,1.0,,4.0,,,,,,
dewayne-hendrix,Dewayne Hendrix,DL/DB,,,,,1.0,9.0,,9.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dexter-mccoil,Dexter McCoil,LB/DB,,2.0,,,3.0,65.0,1.0,65.0,71.0,15.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,6.0,,,1.0,,,,,,
dino-boyd,Dino Boyd,OL,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dion-pellerin,Dion Pellerin,FB/RB,,,,,,,,,,,,,,,,,,,,,,,,8.0,2.0,2.0,,2.0,11.0,,,,,,,,,,,,,1.0,,,,,,2.0,,,,,,,,,
dominique-davis,Dominique Davis,QB,,,,,,1.0,,1.0,,,,,98.0,59.0,,4.0,58.0,33.0,7.0,3.0,674.0,,,,,,,,,,,,,,,,17.0,,30.0,1.0,69.0,,,,,,,6.0,1.0,,1.0,,,,,,
dominique-rhymes,Dominique RHYMES,WR,,,,,,,,,,,,,,,,,,,,,,,,178.0,28.0,45.0,1.0,98.0,411.0,,,,,,,,,,,,,,,,,1.0,,6.0,,,1.0,,,,,,
don-jackson,Don Jackson,RB,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,79.0,17.0,22.0,1.0,123.0,161.0,,6.0,1.0,,,,6.0,84.0,,112.0,2.0,445.0,1.0,,,,1.0,,20.0,2.0,,3.0,,,,,,
don-unamba,Don Unamba,LB,,,,,2.0,47.0,,47.0,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
drake-nevis,Drake Nevis,DL/DB,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dres-anderson,Dres Anderson,WR,,,,,,,,,,,,,,,,,,,,,,,,54.0,8.0,19.0,,16.0,117.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
drew-desjarlais,Drew Desjarlais,OL,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
drew-wolitarsky,Drew WOLITARSKY,WR,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,232.0,38.0,57.0,1.0,112.0,456.0,,,,,,,,,,,,,,,,,1.0,,6.0,,,1.0,,,,,,
dru-brown,Dru Brown,QB,,,,,,,,,,,,,14.0,7.0,,,17.0,11.0,1.0,,49.0,,,,,,,,,,,,,,,,7.0,,18.0,,44.0,,,,,,,,,,,,,,,,
dwayne-norman,Dwayne Norman,LB,,,,,1.0,3.0,,3.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dylan-wynn,Dylan Wynn,DT/DB,,,,,7.0,36.0,,36.0,,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
earnest-edwards,Earnest Edwards,WR,,,,,,,,,,,,,,,,,,,,,,,,61.0,15.0,18.0,1.0,52.0,168.0,,89.0,13.0,,,,203.0,2.0,,7.0,,7.0,,,,,1.0,,6.0,,,1.0,,,,,,
ed-gainey,Ed Gainey,DB,,6.0,18.0,,,48.0,,48.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eddy-wilson,Eddy Wilson,DB,,,,,,10.0,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eli-bouka,Eli Bouka,DB,,2.0,21.0,,,4.0,,4.0,29.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
eli-harold,Eli Harold,LB/DL,,,,,2.0,6.0,,6.0,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eli-mencer,Eli Mencer,LB/DL,,1.0,3.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elisha-howard,Elisha Howard,LB,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eric-blake,Eric Blake,DB/DL,,,,,,4.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eric-rogers,Eric Rogers,WR,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,155.0,31.0,47.0,3.0,82.0,408.0,,,,,,,,,,,,,1.0,,,,3.0,,20.0,,,3.0,,,,,,
eugene-lewis,Eugene LEWIS,WR,,,,,,4.0,,4.0,,,,,1.0,1.0,,,35.0,,,,35.0,,,273.0,68.0,114.0,10.0,216.0,1091.0,,15.0,1.0,,,,15.0,,,,,,,,,,10.0,,60.0,,,10.0,,,,,,
felix-garand-gauthier,Felix Garand-Gauthier,FB/RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,
folarin-orimolade,Folarin Orimolade,DL/DB,,,,,2.0,8.0,,8.0,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frank-beltre,Frank Beltre,DL/DB,,,,,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frankie-griffin,Frankie Griffin,LB,,,,,,8.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frankie-williams,Frankie Williams,DB,,1.0,39.0,,,25.0,,25.0,39.0,,,,,,,,,,,,,,,,,,,,,,205.0,24.0,,,1.0,550.0,,,,,,,,,,,1.0,6.0,,,1.0,,,,,,
fraser-sopik,Fraser Sopik,LB,,,,,,4.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frédéric-chagnon,Frédéric Chagnon,LB,,,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,6.0,,,1.0,,,,,,
garrett-marino,Garrett Marino,DT/DL/DB,,,,,4.0,13.0,,13.0,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
garry-peters,Garry Peters,DB,,,,,,46.0,,46.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
gary-johnson,Gary Johnson,LB,,,,,1.0,8.0,,8.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
godfrey-onyeka,Godfrey Onyeka,DB,,,,,,23.0,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
greg-ellingson,Greg Ellingson,WR,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,270.0,47.0,69.0,1.0,213.0,687.0,,,,,,,,1.0,,4.0,,4.0,,,,,1.0,,6.0,,,1.0,,,,,,
greg-reid,Greg Reid,DB,,2.0,12.0,,1.0,51.0,,51.0,12.0,1.0,,,,,,,,,,,,,,,,,,,,,91.0,14.0,,,,129.0,,,,,,,,,,,,,,,,,,,,,
hakeem-johnson,Hakeem Johnson,DB,,1.0,6.0,,,13.0,,13.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
henoc-muamba,Henoc Muamba,LB,,1.0,4.0,,2.0,56.0,,56.0,4.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hergy-mayala,Hergy Mayala,WR,,,,,,3.0,,3.0,,,,,,,,,,,,,,,,185.0,31.0,55.0,,109.0,298.0,,,,,,,,1.0,,-1.0,,-1.0,,,,,,,,,,,,,,,,
hugh-oneill,Hugh O'Neill,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,921.0,40.0,39.0,866.0,3.0,2500.0,,,,,,,,,,,,2.0,,,,,,,,,
isaac-harker,ISAAC HARKER,QB,,,,,,,,,,,,,36.0,26.0,,2.0,37.0,59.0,6.0,,239.0,,,,,,,,,,,,,,,,3.0,,8.0,,14.0,,,,,,,,,,,,,,,,
isaac-adeyemi-berglund,Isaac Adeyemi-Berglund,DL/DB,,,,,1.0,20.0,,20.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jr-tavai,J.R. Tavai,DL/DB,,,,,2.0,15.0,,15.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jagared-davis,Ja'Gared Davis,DB,,,,,11.0,46.0,,46.0,,101.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jack-cassar,Jack Cassar,LB,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jackson-bennett,Jackson Bennett,RB,,,,,,,,,,,,,,,,,,,,,,,,30.0,5.0,6.0,,25.0,30.0,,,,,,,,17.0,,21.0,,72.0,1.0,,,,,,2.0,,,,,,,,,
jackson-jeffcoat,Jackson Jeffcoat,DE/DB,,,,,10.0,27.0,,27.0,,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jacob-dearborn,Jacob Dearborn,DB,,2.0,31.0,,,18.0,,18.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jacob-scarfone,Jacob Scarfone,WR,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,36.0,6.0,16.0,1.0,54.0,85.0,,,,,,,,,,,,,,,,,1.0,,6.0,,,1.0,,,,,,
jaelon-acklin,Jaelon Acklin,WR,,,,,,3.0,,3.0,,,,,,,,,,,,,,,,286.0,67.0,98.0,5.0,275.0,879.0,,-3.0,3.0,,,,-3.0,2.0,,6.0,,6.0,1.0,,,,5.0,,32.0,,,5.0,,,,,,
jake-ceresna,Jake Ceresna,DL/DB,,,,,5.0,34.0,,34.0,,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jake-ford,Jake Ford,P/K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.0,11.0,8.0,114.0,,472.0,,,,,,,,,,,,,,,,,,,,,
jake-harty,Jake Harty,WR,,,,,,,,,,,,,,,,,,,,,,,,5.0,1.0,2.0,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jake-maier,Jake Maier,QB,,,,,,,,,,,,,148.0,95.0,,3.0,183.0,23.0,3.0,5.0,1211.0,,,6.0,1.0,1.0,,3.0,6.0,,,,,,,,17.0,,23.0,2.0,32.0,,,,,,,12.0,2.0,,2.0,,,,,,
jake-thomas,Jake Thomas,DT/DB,,,,,6.0,20.0,,20.0,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jake-wieneke,Jake Wieneke,WR,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,311.0,62.0,99.0,11.0,249.0,957.0,,6.0,1.0,,,,6.0,,,,,,,,,,11.0,,66.0,,,11.0,,,,,,
jakub-szott,Jakub Szott,OL,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jalen-collins,Jalen Collins,DB,,2.0,13.0,,,15.0,,15.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jalen-tolliver,Jalen Tolliver,WR,,,,,,4.0,,4.0,,,,,,,,,,,,,,,,198.0,29.0,46.0,4.0,119.0,383.0,,,,,,,,,,,,,,,,,4.0,,24.0,,,4.0,,,,,,
jalin-marshall,Jalin Marshall,WR,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,12.0,2.0,3.0,,11.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jalon-edwards-cooper,Jalon Edwards-Cooper,DB,,2.0,,,,29.0,,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jamal-davis,Jamal Davis,DB,,,,,4.0,18.0,,18.0,,32.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,6.0,,,1.0,,,,,,
jamal-morrow,Jamal Morrow,RB,,,,,,,,,,,,,,,,,,,,,,,,38.0,4.0,5.0,,46.0,52.0,,305.0,32.0,,,1.0,699.0,9.0,,15.0,,41.0,,,,,,1.0,6.0,,,1.0,,,,,,
jamal-peters,Jamal Peters,DB,,1.0,30.0,,,32.0,,32.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jamar-mcgloster,Jamar McGloster,OL,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jamar-wall,Jamar Wall,DB,,,,,,37.0,,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jameer-thurman,Jameer Thurman,LB/DB,,1.0,5.0,,3.0,67.0,,67.0,5.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
james-butler,James BUTLER,RB,,,,,,3.0,,3.0,,,,,,,,,,,,,,,,146.0,39.0,47.0,1.0,215.0,243.0,,133.0,16.0,,,,325.0,101.0,,139.0,2.0,497.0,1.0,,,,1.0,,20.0,2.0,,3.0,,,,,,
james-hornbuckle,James Hornbuckle,DB,,,,,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
james-tuck,James Tuck,FB,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,31.0,3.0,6.0,,26.0,45.0,,4.0,1.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,
james-wilder-jr,James Wilder Jr.,RB,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,104.0,28.0,38.0,1.0,178.0,226.0,,,,,,,,142.0,,194.0,2.0,770.0,,,,,1.0,,18.0,2.0,,3.0,,,,,,
jamie-harry,Jamie Harry,DB,,,,,,6.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
janarion-grant,Janarion GRANT,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216.0,19.0,,,1.0,438.0,,,,,,,,,,,1.0,6.0,,,1.0,,,,,,
jarrell-owens,Jarrell Owens,DL/DB,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
javien-elliott,Javien Elliott,DB,,,,,,4.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jeff-richards,Jeff Richards,DB,,1.0,42.0,,,44.0,,44.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jeremiah-masoli,Jeremiah MASOLI,QB,,,,,,,,,,,,,330.0,230.0,,7.0,390.0,159.0,25.0,13.0,2836.0,,,,,,,,,,,,,,,,38.0,,122.0,1.0,229.0,,,,,,,6.0,1.0,,1.0,,,,,,
jeremy-clark,Jeremy Clark,DB,,1.0,69.0,,,12.0,,12.0,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jermaine-grace,Jermaine Grace,LB,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jerod-fernandez,Jerod Fernandez,LB/ILB,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jeshrun-antwi,Jeshrun ANTWI,RB,,,,,,,,,,,,,,,,,,,,,,,,39.0,6.0,6.0,,30.0,46.0,,,,,,,,36.0,,71.0,,176.0,,,,,,,,,,,,,,,,
jesse-briggs,Jesse Briggs,LB,,,,,,24.0,,24.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jevon-cottoy,Jevon COTTOY,WR,,,,,,,,,,,,,,,,,,,,,,,,132.0,39.0,50.0,3.0,255.0,519.0,,,,,,,,,,,,,,,,,3.0,,18.0,,,3.0,,,,,,
jimmy-camacho,Jimmy Camacho,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,1.0,1.0,6.0,,38.0,,,,,,,,,,,,61.0,,,,20.0,14.0,264.0,58.0,17.0,16.0
joe-zema,Joe Zema,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,824.0,97.0,77.0,695.0,,4374.0,1.0,,3.0,,3.0,,,,,,,3.0,,,,,,,,,
joel-whitford,Joel Whitford,P/K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,775.0,92.0,69.0,514.0,,3996.0,,,,,,,,,,,,4.0,,,,,,,,,
john-white,John White,RB,,,,,,,,,,,,,,,,,,,,,,,,81.0,15.0,26.0,,104.0,105.0,,,,,,,,92.0,,103.0,1.0,450.0,1.0,,,,,,8.0,1.0,,1.0,,,,,,
johnny-augustine,Johnny AUGUSTINE,RB,,,,,,,,,,,,,,,,,,,,,,,,-1.0,2.0,3.0,,-1.0,-1.0,,,,,,,,40.0,,103.0,,285.0,,,,,,,,,,,,,,,,
jon-ryan,Jon Ryan,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,592.0,62.0,47.0,425.0,,2907.0,,,,,,,,,,,,5.0,,,,,,,,,
jonathan-kongbo,Jonathan Kongbo,DE/DB,,,,,4.0,19.0,,19.0,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jonathan-moxey,Jonathan Moxey,DB,,5.0,15.0,,,25.0,1.0,25.0,73.0,,,,,,,,,,,,,,,,,,,,,,30.0,3.0,,,,71.0,,,,,,,,1.0,,,,6.0,,,1.0,,,,,,
jonathan-rose,Jonathan Rose,DB,,,,,,27.0,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jonathan-woodard,Jonathan Woodard,DL/DB,,,,,11.0,25.0,,25.0,,81.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jonathon-mincy,Jonathon Mincy,DB,,,,,,19.0,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jontrell-rocquemore,Jontrell Rocquemore,LB,,1.0,40.0,,,6.0,,6.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jordan-herdman,Jordan Herdman,LB,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jordan-hoover,Jordan Hoover,DB/S,,1.0,70.0,,,46.0,,46.0,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jordan-murray,Jordan Murray,OL,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jordan-smallwood,Jordan Smallwood,WR,,,,,,,,,,,,,,,,,,,,,,,,23.0,3.0,7.0,,5.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jordan-williams,Jordan Williams,WR/OT/LB/DL/DE/MLB,,1.0,17.0,,1.0,91.0,,91.0,17.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jordan-williams-lambert,Jordan Williams-Lambert,WR,,,,,,,,,,,,,,,,,,,,,,,,73.0,14.0,20.0,,49.0,152.0,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
josh-banks,Josh Banks,DL/DB,,,,,,15.0,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
josh-huff,Josh Huff,WR,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,277.0,42.0,64.0,,196.0,574.0,,60.0,13.0,,,,147.0,,,,,,,,,,,,,,,,,,,,,
josh-johnson,Josh Johnson,DB,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
josh-miller,Josh Miller,DB,,,,,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
josh-woods,Josh Woods,LB,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
joshua-hagerty,Joshua Hagerty,DB,,,,,,8.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jovan-santos-knox,Jovan Santos-Knox,LB,,,,,2.0,93.0,,93.0,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
julian-good-jones,Julian Good-Jones,G/OL,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
julian-howsare,Julian Howsare,DE/DL/DB,,,,,6.0,46.0,,46.0,,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jumal-rolle,Jumal Rolle,DB,,2.0,9.0,,,48.0,1.0,48.0,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,6.0,,,1.0,,,,,,
junior-turner,Junior Turner,DL/DB,,,,,1.0,8.0,,8.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
justin-davis,Justin Davis,RB,,,,,,3.0,,3.0,,,,,,,,,,,,,,,,9.0,4.0,9.0,,7.0,14.0,,,,,,,,20.0,,20.0,,81.0,,,,,,,,,,,,,,,,
justin-herdman,Justin Herdman,LB,,,,,,6.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
justin-howell,Justin Howell,DB,,,,,,25.0,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
justin-mcinnis,Justin MCINNIS,WR,,,,,,,,,,,,,,,,,,,,,,,,68.0,5.0,7.0,,38.0,83.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
justin-tuggle,Justin Tuggle,LB,,,,,1.0,7.0,,7.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
juwan-brescacin,Juwan Brescacin,WR,,,,,,,,,,,,,,,,,,,,,,,,53.0,9.0,18.0,1.0,39.0,90.0,,,,,,,,,,,,,,,,,1.0,,6.0,,,1.0,,,,,,
juwann-bushell-beatty,Juwann Bushell-Beatty,OL/T,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kadeem-carey,Ka\'Deem CAREY,RB,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,124.0,29.0,46.0,,192.0,213.0,,,,,,,,186.0,,182.0,9.0,986.0,,,,,,,54.0,9.0,,9.0,,,,,,
kaare-vedvik,Kaare Vedvik,P/K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337.0,36.0,25.0,212.0,,1571.0,,,,,,,,,,,,2.0,,,,,,,,,
kaion-julien-grant,Kaion JULIEN-GRANT,WR,,,,,,,,,,,,,,,,,,,,,,,,152.0,11.0,20.0,,54.0,178.0,,21.0,2.0,,,,21.0,,,,,,,,,,,,,,,,,,,,,
kamar-jorden,Kamar Jorden,WR,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,272.0,57.0,81.0,4.0,215.0,800.0,,,,,,,,,,,,,,,,,4.0,,24.0,,,4.0,,,,,,
kameron-kelly,Kameron Kelly,SS/DB/S,,3.0,52.0,,1.0,42.0,,42.0,65.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
keion-adams,Keion Adams,DL/DB,,,,,3.0,11.0,,11.0,,21.0,,,,,,,,,,,,,,,,,,,,,14.0,1.0,,,,14.0,,,,,,,,,,,,,,,,,,,,,
keishawn-bierria,Keishawn Bierria,LB,,1.0,1.0,,2.0,50.0,,50.0,1.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kelvin-mcknight,Kelvin McKnight,WR,,,,,,,,,,,,,,,,,,,,,,,,42.0,15.0,21.0,,28.0,96.0,,26.0,10.0,,,,42.0,,,,,,,,,,,,,,,,,,,,,
kene-onyeka,Kene Onyeka,DL/DB,,,,,2.0,15.0,,15.0,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kenny-lawler,Kenny Lawler,WR,,,,,,3.0,,3.0,,,,,,,,,,,,,,,,397.0,70.0,103.0,6.0,186.0,1104.0,,,,,,,,1.0,,8.0,,8.0,,,,,6.0,,36.0,,,6.0,,,,,,
kenny-stafford,Kenny Stafford,WR,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,132.0,17.0,25.0,3.0,27.0,242.0,,,,,,,,,,,,,,,,,3.0,,18.0,,,3.0,,,,,,
keon-hatcher,Keon HATCHER,WR,,,,,,,,,,,,,1.0,,,,,,,,,,,110.0,17.0,29.0,2.0,58.0,214.0,,,,,,,,,,,,,,,,,2.0,,12.0,,,2.0,,,,,,
kerfalla-emmanuel-exumé,Kerfalla-Emmanuel Exumé,DB,,,,,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kevin-brown,Kevin BROWN,RB,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
