player_id,player_name,positions,def_ff,def_int,def_pd,def_sacks,def_tackles,fg_att,fg_made,gp,kr_no,kr_td,kr_yds,pass_att,pass_cmp,pass_int,pass_td,pass_yds,pat_att,pat_made,pr_no,pr_td,pr_yds,punt_no,punt_yds,recv_rec,recv_td,recv_yds,rush_att,rush_td,rush_yds
f-tiefenbacher,F. Tiefenbacher,LB,,,,0.5,7.0,,,9.0,,,,,,,,,,,,,,,,,,,,,
ferras-el-hendi,Ferras El-Hendi,QB,,,,,,,,11.0,,,,72.0,34.0,1.0,1.0,305.0,,,,,,,,,,,15.0,,
flamur-simon,Flamur Simon,LB,,1.0,1.0,,33.0,,,7.0,,,,,,,,,,,,,,,,,,,,,
florian-albrecht,Florian Albrecht,,,,,,3.0,,,9.0,,,,,,,,,,,,,,,,,,,,,
florian-bierbaumer,Florian Bierbaumer,TE/WR,,,,,,,,10.0,,,,,,,,,,,,,,,,36.0,10.0,480.0,,,
florian-grünsteidl,Florian Grünsteidl,LB,,,,,6.0,,,8.0,,,,,,,,,,,,,,,,,,,,,
florian-sudi,Florian Sudi,DL/LB,,,2.0,3.5,33.0,,,12.0,,,,,,,,,,,,,,7.0,323.0,,,,,,
florian-wegan,Florian Wegan,RB,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,64.0,4.0,389.0
frank-atunlese,Frank Atunlese,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,
g-berkes,G. Berkes,P,,,,,,,,6.0,,,,,,,,,,,,,,2.0,84.0,,,,,,
g-calonego,G. Calonego,WR,,,,,,,,10.0,,,,,,,,,,,,,,6.0,144.0,20.0,,117.0,2.0,,
g-della-vechia,G. Della Vechia,LB,,,1.0,,2.0,,,5.0,,,,,,,,,,,,,,,,,,,,,
g-fernandez-serrano,G. Fernandez Serrano,CB,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,
g-haro-blasco,G. Haro Blasco,RB,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,25.0,2.0,131.0
g-kispál,G. Kispál,C,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,2.0,,
g-lennox,G. Lennox,RB,,,,,,,,9.0,4.0,,54.0,,,,,,,,,,,,,8.0,,41.0,47.0,1.0,170.0
g-pilot,G. Pilot,DT,,,,1.0,7.0,,,11.0,,,,,,,,,,,,,,,,,,,,,
g-potter,G. Potter,LB,1.0,,4.0,4.0,74.0,,,9.0,,,,,,,,,,,,,,,,1.0,,42.0,2.0,,
gennadiy-adams,Gennadiy Adams,RB,,,,,,,,5.0,,,,,,,,,,,,,,,,3.0,1.0,34.0,15.0,1.0,77.0
gerald-ameln,Gerald Ameln,RB,,,,,,,,12.0,1.0,,22.0,,,,,,,,,,,,,25.0,2.0,92.0,121.0,6.0,626.0
giacomo-de-pauli,Giacomo De Pauli,RB,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,
glen-toonga,Glen Toonga,RB,,,,,,,,4.0,,,,,,,,,,,,,,,,3.0,,41.0,12.0,1.0,114.0
goran-zec,Goran Zec,DB/LB,,1.0,3.0,,27.0,,,7.0,,,,,,,,,,,,,,,,,,,,,
grzegorz-lary,Grzegorz Lary,CB/LB,,,1.0,,3.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
h-abdelli,H. Abdelli,OG,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,1.0,,
h-dyrendahl,H. Dyrendahl,LB,2.0,,,2.0,101.0,,,11.0,,,,,,,,,,,,,,,,,,,,,
h-hobson,H. Hobson,LB,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,
h-klages,H. Klages,DT,,1.0,1.0,4.5,24.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
h-krauss,H. Krauss,DT,,,,,1.0,,,4.0,,,,,,,,,,,,,,,,,,,,,
h-nielsen,H. Nielsen,LB,,,,,9.0,,,11.0,,,,,,,,,,,,,,,,,,,,,
h-tekedam,H. Tekedam,QB,,,,,,,,12.0,,,,19.0,12.0,1.0,2.0,164.0,,,,,,,,42.0,9.0,486.0,10.0,1.0,50.0
hamsa-el-zein,Hamsa El-Zein,DL,,,,,4.0,,,10.0,,,,,,,,,,,,,,,,,,,,,
harlan-kwofie,Harlan Kwofie,WR,,,,,,,,10.0,,,,,,,,,,,,,,,,47.0,13.0,820.0,,,
hiswill-awuah,Hiswill Awuah,DL/LB,1.0,,1.0,2.0,34.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
hubert-ogrodowczyk,Hubert Ogrodowczyk,LB,,,1.0,5.5,24.0,,,8.0,,,,,,,,,,,,,,,,,,,,,
i-diz-bravo,I. Diz Bravo,TE,1.0,,,,1.0,,,11.0,,,,,,,,,,,,,,,,,,,,,
i-garcia-alcocer,I. Garcia Alcocer,WR,,,,,,,,8.0,,,,,,,,,,,,,,,,15.0,,89.0,3.0,,
i-lópez-sastre,I. López Sastre,QB,,,,,,,,12.0,,,,23.0,13.0,,2.0,210.0,,,,,,,,,,,16.0,,42.0
i-mbra,I. M'bra,CB,,1.0,4.0,,35.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
i-schmid,I. Schmid,WR,,,,,,,,10.0,,,,19.0,7.0,2.0,,99.0,,,,,,,,29.0,5.0,273.0,2.0,,
i-ukachu,I. Ukachu,CB,,,5.0,,18.0,,,11.0,,,,,,,,,,,,,,,,,,,,,
i-weed,I. Weed,QB,,,,,,,,5.0,,,,139.0,78.0,5.0,5.0,722.0,,,,,,,,,,,38.0,2.0,251.0
iiro-pekkarinen,Iiro Pekkarinen,LB,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,1.0,,,
j-adjetey,J. Adjetey,CB,,,1.0,,5.0,,,11.0,,,,,,,,,,,,,,,,,,,,,
j-aguado-vento,J. Aguado Vento,LB,,2.0,2.0,,18.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
j-akena,J. Akena,LB,,,,,5.0,,,5.0,,,,,,,,,,,,,,,,,,,,,
j-alexandre,J. Alexandre,WR,,,,,,,,10.0,,,,,,,,,,,,,,,,1.0,,10.0,,,
j-aubert,J. Aubert,CB,,,1.0,,,,,7.0,,,,,,,,,,,,,,,,,,,,,
j-ałdaś,J. Ałdaś,K,,,,,,12.0,6.0,10.0,,,,,,,,,42.0,34.0,,,,4.0,189.0,,,,,,
j-bofunda,J. Bofunda,RB,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,32.0,4.0,308.0
j-bækgaard,J. Bækgaard,CB,,,1.0,,2.0,,,11.0,,,,,,,,,,,,,,,,,,,,,
j-carrasco-sanz,J. Carrasco Sanz,LB,,1.0,1.0,,61.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
j-cole,J. Cole,WR,,,,,,,,9.0,32.0,,879.0,2.0,,,,,,,4.0,,35.0,,,101.0,12.0,1147.0,3.0,,39.0
j-colic,J. Colic,OT,,,,,4.0,,,10.0,,,,,,,,,,,,,,,,,,,,,
j-cotton-jr,J. Cotton Jr,WR,,,,,,,,2.0,,,,,,,,,,,,,,,,4.0,1.0,58.0,,,
j-darkwa,J. Darkwa,DT,1.0,,4.0,3.0,25.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
j-davidovic,J. Davidovic,WR,,,,,,,,11.0,3.0,,67.0,,,,,,,,,,,,,8.0,1.0,91.0,,,
j-dennis,J. Dennis,LB,,,,,35.0,,,6.0,,,,,,,,,,,,,,,,,,,,,
j-eriksen,J. Eriksen,K,,,,,,1.0,,11.0,,,,,,,,,8.0,1.0,,,,19.0,680.0,,,,,,
j-evers,J. Evers,FB,,,,,1.0,,,12.0,,,,,,,,,,,,,,,,,,,4.0,,21.0
j-faagata,J. Fa'agata,DT,,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,
j-flores-calderon,J. Flores-Calderon,WR,,,,,,,,11.0,,,,,,,,,,,,,,,,35.0,11.0,605.0,,,
j-fuschelberger,J. Fuschelberger,CB,,,1.0,,20.0,,,7.0,,,,,,,,,,,,,,,,,,,,,
j-gacek,J. Gacek,CB,2.0,1.0,10.0,,45.0,,,11.0,,,,,,,,,,,,,,,,,,,,,
j-garcia-valcarcel,J. Garcia-Valcarcel,WR,,,,,,,,8.0,,,,,,,,,,,,,,,,2.0,,26.0,,,
j-genmark-heath,J. Genmark Heath,LB,,,,,,,,4.0,,,,1.0,,,,,,,,,,,,1.0,,5.0,38.0,2.0,158.0
j-goké,J. Goké,DE,1.0,,,,5.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
j-green,J. Green,WR,,,,,,3.0,,11.0,,,,,,,,,24.0,14.0,,,,,,29.0,,368.0,2.0,,20.0
j-gürntke,J. Gürntke,LB,1.0,1.0,6.0,,40.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
j-hecker,J. Hecker,CB,,1.0,5.0,,24.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
j-heidelbach,J. Heidelbach,DE,,,,1.0,4.0,,,11.0,,,,,,,,,,,,,,,,,,,,,
j-henderson,J. Henderson,DE,,,,,,,,12.0,,,,311.0,193.0,6.0,29.0,2135.0,,,,,,1.0,45.0,,,,112.0,9.0,676.0
j-hernandez-jimenez,J. Hernandez Jimenez,LB,,,2.0,2.5,38.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
j-hlava,J. Hlava,DT,1.0,,,,2.0,,,11.0,,,,,,,,,,,,,,,,,,,,,
j-ipsen,J. Ipsen,DT,,,,3.5,26.0,,,11.0,,,,,,,,,,,,,,,,,,,,,
j-janota,J. Janota,WR,,,,,,,,12.0,18.0,,614.0,,,,,,,,,,,,,9.0,,51.0,,,
j-janoušek,J. Janoušek,DT,,,,0.5,20.0,,,11.0,,,,,,,,,,,,,,,,,,,,,
j-ječný,J. Ječný,LB,,2.0,4.0,,14.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
j-key,J. Key,RB,,,,,2.0,,,8.0,,,,,,,,,,,,,,,,4.0,,20.0,29.0,,135.0
j-krs,J. Krs,LB,,,,,21.0,,,4.0,,,,,,,,,,,,,,,,,,,,,
j-köhnlein,J. Köhnlein,DT,,,2.0,3.5,44.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
j-leuker,J. Leuker,QB,,,,,,,,11.0,,,,151.0,62.0,12.0,1.0,613.0,,,,,,,,,,,34.0,1.0,115.0
j-lipták,J. Lipták,DT,,,1.0,,9.0,,,11.0,,,,,,,,,,,,,,,,,,,,,
j-loew,J. Loew,DT,,,,6.0,19.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
j-lua,J. Lua,LB,1.0,,7.0,,65.0,,,9.0,10.0,,209.0,1.0,1.0,,,16.0,,,4.0,,19.0,,,,,,4.0,,4.0
j-maier,J. Maier,LB,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,
j-malki,J. Malki,TE,,,,,,,,10.0,,,,,,,,,,,,,,,,3.0,2.0,11.0,,,
j-melero-arregui,J. Melero Arregui,WR,,,,,1.0,,,12.0,,,,,,,,,,,,,,,,5.0,,70.0,,,
j-mensah,J. Mensah,CB,,,2.0,,4.0,,,6.0,,,,,,,,,,,,,,,,,,,,,
j-moreira-ferreira,J. Moreira Ferreira,CB,,1.0,2.0,1.0,8.0,,,6.0,3.0,,60.0,,,,,,,,,,,,,,,,,,
j-neugebauer,J. Neugebauer,WR,,,,,,,,6.0,,,,,,,,,,,,,,,,3.0,,29.0,1.0,,
j-nielsen,J. Nielsen,TE,,,,,,,,11.0,,,,,,,,,,,,,,,,7.0,3.0,69.0,,,
j-norwood,J. Norwood,QB,,,,,,,,3.0,,,,65.0,29.0,5.0,2.0,221.0,,,,,,,,,,,50.0,3.0,317.0
j-novoberdalija,J. Novoberdalija,FB,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,
j-pietsch,J. Pietsch,WR,,,,,,,,9.0,,,,,,,,,,,,,,,,7.0,1.0,119.0,,,
j-prieto-marchal,J. Prieto Marchal,,,,,,2.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
j-rada,J. Rada,CB,1.0,,1.0,3.0,30.0,,,11.0,,,,,,,,,,,,,,,,,,,,,
j-richter,J. Richter,DT,,,,,1.0,,,7.0,,,,,,,,,,,,,,,,,,,,,
j-riedel,J. Riedel,DT,,,2.0,4.5,41.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
j-sanders,J. Sanders,WR,,,,,,,,8.0,,,,,,,,,,,,,,,,1.0,,6.0,,,
j-scanlan,J. Scanlan,DE,1.0,,1.0,2.0,19.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
j-schorn,J. Schorn,DT,,,,,16.0,,,8.0,,,,,,,,,,,,,,,,,,,,,
j-schwaiger,J. Schwaiger,LB,,,,,7.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
j-scott,J. Scott,RB,,,,,,,,12.0,,,,,,,,,,,,,,,,24.0,2.0,289.0,121.0,7.0,729.0
j-seelig,J. Seelig,RB,,,,,,,,9.0,,,,,,,,,,,,,,,,42.0,6.0,554.0,74.0,3.0,513.0
j-sievers,J. Sievers,RB,,,,,,,,12.0,,,,,,,,,,,,,,,,11.0,,81.0,16.0,1.0,56.0
j-smith,J. Smith,QB,,,,,,,,12.0,,,,233.0,143.0,7.0,17.0,1744.0,,,,,,,,,,,100.0,9.0,549.0
j-smutný,J. Smutný,DT,,1.0,3.0,2.5,49.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
j-starý,J. Starý,DE,1.0,,,2.5,33.0,,,11.0,,,,,,,,,,,,,,,,,,,,,
j-stork,J. Stork,P,,,,,,3.0,,9.0,,,,,,,,,5.0,4.0,,,,27.0,983.0,,,,,,
j-sullivan,J. Sullivan,WR,,,,,,,,12.0,4.0,,129.0,,,,,,,,1.0,,29.0,,,38.0,10.0,644.0,1.0,,4.0
j-tregle,J. Tregle,QB,,,,,,,,1.0,,,,26.0,8.0,3.0,,83.0,,,,,,,,,,,6.0,,42.0
j-vitvar,J. Vitvar,DT,,,,,2.0,,,10.0,,,,,,,,,,,,,,,,,,,,,
j-wang,J. Wang,QB,,,,,,,,5.0,,,,219.0,132.0,4.0,14.0,1459.0,,,,,,,,,,,49.0,4.0,323.0
j-wellie,J. Wellie,WR,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,
j-wiesauer,J. Wiesauer,RB,,,,,,,,11.0,,,,,,,,,,,,,,,,1.0,,,58.0,7.0,415.0
j-zilai,J. Zilai,LB,1.0,,2.0,2.0,54.0,,,10.0,,,,,,,,,,,,,,,,,,,,,
j-zirngibl,J. Zirngibl,DE,1.0,,2.0,2.0,28.0,,,8.0,,,,,,,,,,,,,,,,,,,,,
jadrian-alexander-clark,Jadrian Alexander Clark,QB,,,,,,,,11.0,,,,398.0,259.0,9.0,47.0,3708.0,,,,,,,,,,,11.0,,13.0
jahn-jesus-lara-perez,Jahn Jesus Lara Perez,DE/LB,,,,0.5,19.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
jai-albert-lloyd-jackson,Jai-Albert Lloyd Jackson,,1.0,,3.0,3.0,48.0,,,12.0,,,,,,,,,,,,,,,,1.0,,8.0,,,
jakeb-sullivan,Jakeb Sullivan,QB,,,,,,,,10.0,,,,358.0,231.0,16.0,26.0,2966.0,,,,,,,,1.0,,,48.0,3.0,240.0
jalen-embry,Jalen Embry,CB/DB/LB,1.0,,,,16.0,,,9.0,,,,,,,,,,,,,,,,,,,,,
jamal-okeke,Jamal Okeke,,,,3.0,,33.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
jamalcolm-liggins,Jamalcolm Liggins,CB/LB,,1.0,8.0,,25.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
jan-mayerhofer,Jan Mayerhofer,LB/S,1.0,2.0,3.0,1.0,68.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
janek-wenke,Janek Wenke,DE/LB,,,,2.0,8.0,,,4.0,,,,,,,,,,,,,,,,,,,,,
jannik-loercks,Jannik Loercks,WR,,,,,,,,8.0,4.0,,95.0,,,,,,,,,,,,,6.0,1.0,110.0,,,
jannik-nowak,Jannik Nowak,QB/WR,,,,,,,,11.0,,,,,,,,,,,,,,,,5.0,2.0,82.0,2.0,,
jannik-seibel,Jannik Seibel,DB/LB,,,8.0,,21.0,,,10.0,,,,,,,,,,,,,,,,,,,,,
jason-chikere,Jason Chikere,DL/LB,,,3.0,2.0,59.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
jean-charles-moukouri,Jean-Charles Moukouri,RB,,,,,,,,12.0,,,,,,,,,,,,,,,,2.0,,5.0,55.0,3.0,289.0
jean-claude-madin-cerezo,Jean-Claude Madin Cerezo,WR,,,,,1.0,,,8.0,,,,,,,,,,,,,,,,11.0,1.0,109.0,,,
jens-appelt,Jens Appelt,K,,,,,2.0,9.0,4.0,11.0,,,,,,,,,7.0,5.0,,,,21.0,763.0,,,,2.0,,
jens-walter,Jens Walter,TE,,,,,,,,12.0,,,,,,,,,,,,,,,,1.0,1.0,2.0,,,
jeremy-sarfo,Jeremy Sarfo,LB,,,,,16.0,,,9.0,,,,,,,,,,,,,,,,,,,,,
jocques-crawford,Jocques Crawford,RB,1.0,1.0,2.0,,42.0,,,8.0,2.0,,28.0,,,,,,,,1.0,,6.0,,,1.0,,4.0,,,
johannes-schütz,Johannes Schütz,WR,,,,,,,,9.0,3.0,1.0,160.0,1.0,,,,,,,,,,,,12.0,,129.0,78.0,1.0,387.0
john-levi-kruse,John Levi Kruse,FB/WR,,,,,2.0,,,12.0,,,,,,,,,,,,,,,,11.0,1.0,94.0,3.0,1.0,5.0
jonas-hagerup,Jonas Hagerup,,,,,0.5,1.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
jonata-loria,Jonata Loria,K,,,,,,11.0,7.0,12.0,,,,,,,,,47.0,43.0,,,,4.0,153.0,,,,,,
jonell-patrice-pelie,Jonell Patrice Pelie,LB,2.0,,1.0,0.5,65.0,,,11.0,,,,,,,,,,,,,,,,,,,,,
jordan-bouah,Jordan Bouah,RB/WR,,,,,,,,8.0,8.0,,193.0,,,,,,,,,,,,,9.0,,107.0,2.0,,7.0
jordi-torrededia,Jordi Torrededia,WR,,,,,,,,12.0,,,,,,,,,,,,,,,,26.0,5.0,367.0,,,
joshua-jacob,Joshua Jacob,,,,,,,,,10.0,,,,,,,,,,,,,,,,2.0,,7.0,31.0,,104.0
joshua-poznanski,Joshua Poznanski,LB/S,,1.0,2.0,,33.0,,,10.0,,,,,,,,,,,,,,,,,,,,,
julian-jakob,Julian Jakob,CB/LB,,,1.0,,4.0,,,6.0,,,,,,,,,,,,,,,,,,,,,
julian-ludwig-mayorga,Julian Ludwig-Mayorga,DB/LB,1.0,2.0,4.0,,11.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
justin-rodney,Justin Rodney,RB,,,,,,,,11.0,,,,,,,,,,,,,,,,30.0,1.0,273.0,176.0,11.0,1082.0
justin-schlesinger,Justin Schlesinger,WR,,,,,,,,10.0,,,,,,,,,,,,,,,,20.0,3.0,150.0,,,
justus-sleiman,Justus Sleiman,DL,,,,1.0,16.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
k-adisa,K. Adisa,CB,2.0,1.0,3.0,,43.0,,,11.0,,,,,,,,,,,,,,,,,,,,,
k-beisinger,K. Beisinger,,,,,,2.0,,,3.0,,,,,,,,,,,,,,,,,,,,,
k-benedek,K. Benedek,DE,,,,,4.0,,,5.0,,,,,,,,,,,,,,,,,,,,,
k-binnemann,K. Binnemann,DE,,,,,1.0,,,10.0,,,,,,,,,,,,,,,,,,,,,
k-cole-sr,K. Cole Sr,WR,,,,,,,,6.0,4.0,,125.0,,,,,,,,,,,,,12.0,1.0,177.0,,,
k-floret,K. Floret,CB,,,1.0,,2.0,,,6.0,,,,,,,,,,,,,,,,,,,,,
k-giardinieri,K. Giardinieri,,,,,,3.0,,,4.0,,,,,,,,,,,,,,,,,,,,,
k-gibbons,K. Gibbons,DT,,,,,3.0,,,10.0,,,,,,,,,,,,,,,,,,,,,
k-hansen,K. Hansen,DT,1.0,,,,7.0,,,11.0,,,,,,,,,,,,,,,,,,,,,
k-hike-jr,K. Hike Jr.,CB/LB,1.0,5.0,17.0,,40.0,,,12.0,18.0,,532.0,,,,,,,,1.0,,,,,,,,,,
k-horváth,K. Horváth,TE,,,,,,,,4.0,,,,,,,,,,,,,,,,10.0,,49.0,,,
k-jaszewski,K. Jaszewski,WR,,,,,,,,12.0,,,,,,,,,,,,,,,,19.0,3.0,213.0,3.0,,3.0
k-jazienicki,K. Jazienicki,CB,,,1.0,,2.0,,,9.0,,,,,,,,,,,,,,,,,,,,,
k-jensen,K. Jensen,LB,1.0,,,,1.0,,,10.0,,,,,,,,,,,,,,,,,,,,,
k-kaya,K. Kaya,WR,,,,,,,,12.0,,,,,,,,,,,,,,,,58.0,4.0,622.0,,,
k-koechli,K. Koechli,RB,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,5.0,,32.0
k-larsen-ledet,K. Larsen-Ledet,LB,,,,,9.0,,,11.0,,,,,,,,,,,,,,,,,,,,,
k-limam,K. Limam,CB,,1.0,4.0,,34.0,,,10.0,1.0,,18.0,,,,,,,,,,,,,,,,,,
k-mccormack,K. McCormack,QB,,,,,,,,11.0,,,,178.0,95.0,11.0,4.0,663.0,,,,,,,,,,,35.0,1.0,99.0
k-miranda,K. Miranda,WR,,,,,1.0,,,5.0,2.0,,42.0,,,,,,,,,,,,,23.0,1.0,76.0,18.0,,79.0
k-pajarinen,K. Pajarinen,RB,,,,,,,,11.0,,,,,,,,,,,,,,,,11.0,,77.0,97.0,8.0,518.0
k-panayotopoulos,K. Panayotopoulos,LB,,,,,15.0,,,6.0,,,,,,,,,,,,,,,,,,,,,
k-querido,K. Querido,LB,,,1.0,,11.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
k-sengstacke,K. Sengstacke,WR,,,,,,,,12.0,,,,,,,,,,,,,,,,21.0,,150.0,5.0,,22.0
k-sikora,K. Sikora,WR,,,,,,,,5.0,,,,,,,,,,,,,,,,1.0,,12.0,,,
k-titz,K. Titz,LB,,,,2.5,46.0,,,11.0,,,,,,,,,,,,,,,,,,,,,
k-tracz,K. Tracz,DE,,,,,5.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
k-wehde,K. Wehde,CB,,,1.0,,16.0,,,10.0,,,,,,,,,,,,,,,,,,,,,
k-williams,K. Williams,CB,,,1.0,,3.0,,,7.0,,,,,,,,,,,,,,,,,,,,,
kadel-king,Kadel King,LB,,1.0,1.0,3.0,67.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
kai-hunter,Kai Hunter,RB,,,,,,,,11.0,,,,,,,,,,,,,,,,4.0,,49.0,105.0,10.0,457.0
kamil-kotlarz,Kamil Kotlarz,RB,,,1.0,,,,,11.0,18.0,,427.0,,,,,,,,4.0,,107.0,,,5.0,,50.0,11.0,,23.0
karim-ben-el-ghali,Karim Ben El Ghali,CB/LB,,,,,3.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
karlis-brauns,Karlis Brauns,DE/DT/LB,1.0,,1.0,6.0,48.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
kende-rathonyi,Kende Ráthonyi,RB,,,,,,,,11.0,,,,,,,,,,,,,,,,1.0,,12.0,71.0,1.0,211.0
kevin-fortes,Kevin Fortes,DB/LB,,,,,1.0,,,3.0,,,,,,,,,,,,,,,,,,,,,
kevin-maier,Kevin Maier,DL/LB,,,1.0,1.0,12.0,,,7.0,,,,,,,,,,,,,,,,,,,,,
kevin-mwamba,Kevin Mwamba,TE/WR,,,,,,,,10.0,,,,,,,,,,,,,,,,16.0,,172.0,,,
koku-giede,Koku Giede,,,,1.0,1.5,12.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
konstantin-katz,Konstantin Katz,DB/LB,,,,,14.0,,,10.0,,,,,,,,,,,,,,,,,,,,,
krzystof-wis,Krzystof Wis,LB,1.0,,2.0,2.0,56.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
kyle-kitchens,Kyle Kitchens,DL/LB,2.0,,1.0,12.0,43.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
l-adrom,L. Adrom,QB,,,,,,,,12.0,,,,14.0,10.0,,1.0,145.0,,,,,,22.0,770.0,,,,8.0,1.0,6.0
l-bach,L. Bach,LB,,,2.0,3.5,51.0,,,11.0,,,,,,,,,,,,,,,,,,,,,
l-barth,L. Barth,,1.0,,,,4.0,,,11.0,,,,,,,,,,,2.0,,30.0,,,,,,,,
l-bucan,L. Bucan,,,,,,4.0,,,6.0,,,,,,,,,,,,,,,,,,,,,
l-engel,L. Engel,LB,,4.0,8.0,,14.0,,,12.0,6.0,,181.0,,,,,,,,2.0,,16.0,,,,,,,,
l-felix,L. Felix,OT,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,1.0,,
l-fladung,L. Fladung,DE,,,,,2.0,,,11.0,,,,,,,,,,,,,,,,,,,,,
l-frank,L. Frank,LB,,,,,1.0,,,6.0,,,,,,,,,,,,,,,,,,,,,
l-fritzen,L. Fritzen,WR,,,,,,,,8.0,1.0,,14.0,11.0,7.0,,1.0,112.0,,,2.0,,32.0,,,2.0,,27.0,17.0,1.0,27.0
l-gantar,L. Gantar,CB,,,1.0,,8.0,,,10.0,,,,,,,,,,,,,,,,,,,,,
l-glenna,L. Glenna,LB,,5.0,11.0,0.5,67.0,,,11.0,,,,,,,,,,,,,,,,,,,,,
l-goossens,L. Goossens,WR,,,,,,,,9.0,1.0,,15.0,,,,,,,,,,,,,10.0,,85.0,,,
l-harris,L. Harris,LB,1.0,,2.0,,58.0,,,8.0,,,,,,,,,,,,,,,,,,,,,
l-harting-candido,L. Harting Candido,RB,,,,,,,,9.0,,,,,,,,,,,,,,,,8.0,,28.0,80.0,3.0,321.0
l-heidrich,L. Heidrich,QB,,,,,,,,11.0,,,,82.0,51.0,2.0,8.0,856.0,,,,,,,,,,,15.0,1.0,
l-höltker,L. Höltker,WR,,,,,,1.0,1.0,10.0,,,,,,,,,7.0,5.0,,,,,,,,,,,
l-kalkhofer,L. Kalkhofer,CB,,,3.0,,14.0,,,7.0,,,,,,,,,,,,,,,,,,,,,
l-korim,L. Korim,DE,,1.0,4.0,,59.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
l-leatherman,L. Leatherman,LB,,,,1.0,10.0,,,9.0,,,,,,,,,,,,,,,,,,,,,
l-levin,L. Levin,LB,,,,2.5,10.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
l-lippert,L. Lippert,K,,,,,,,,4.0,,,,,,,,,3.0,2.0,,,,,,,,,,,
l-maier,L. Maier,LB/OG,,,,,6.0,,,20.0,,,,,,,,,,,,,,,,,,,1.0,,
l-mc-dougle,L. Mc Dougle,DT,,,,2.0,16.0,,,8.0,,,,,,,,,,,,,,,,,,,,,
l-misangumukini,L. Misangumukini,DE,,,,,5.0,,,11.0,,,,,,,,,,,,,,,,,,,,,
l-mohr,L. Mohr,WR,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,
l-mortensen,L. Mortensen,LB,,,,,3.0,,,11.0,,,,,,,,,,,,,,,,,,,,,
l-pasquotto,L. Pasquotto,TE,,,,,,,,9.0,,,,,,,,,,,,,,,,1.0,,,,,
l-reinhardt,L. Reinhardt,,,,1.0,,1.0,,,7.0,,,,,,,,,,,,,,,,,,,,,
l-ritz,L. Ritz,WR,,,,,,,,8.0,,,,,,,,,,,,,,,,1.0,,22.0,,,
l-salvo,L. Salvo,WR,,,,,,,,10.0,3.0,,117.0,,,,,,,,1.0,,4.0,,,3.0,,21.0,2.0,,7.0
l-schild,L. Schild,QB,,,,,,,,9.0,,,,23.0,11.0,5.0,1.0,27.0,,,,,,,,5.0,,18.0,2.0,,4.0
