player_id,player_name,positions,1pt_conversion,3pt_pass,blocked_punt,conversions,dst_touchdown,fg_made,field_goal_yards,fumble_recoveries,interceptions_lost,interceptions_made,lost_fumbles,missed,pass_td,passing_tds,passing_yards,pat_made,points_against,receiving_tds,receiving_yards,receptions,recv_td,rush_td,rushing_tds,rushing_yards,sacks,safety
steven-dunbar-jr,Steven Dunbar Jr.,WR,,,,,,,,,,,,,,,,,,0.0,19.0,1.0,,,,,,
steven-fluker,Steven Fluker,OL,,,,,,,,,,,,,,,,1.0,,,,,,6.0,,,,
steven-mitchell-jr,Steven Mitchell Jr.,WR,,,,,,,,,,,,,,,,,,2.0,124.0,12.0,,,,,,
steven-newbold-jr,"Steven Newbold, Jr.",,,,,,,,,,,,,,7.0,,,1.0,,,,,,,,,,
tj-pledger-iv,T.J. Pledger IV,RB,,,,,,,,,,,,,,,,,,0.0,96.0,16.0,,,0.0,253.0,,
taylor-russolino,Taylor Russolino,K,,,,,,,221.0,,,,,1.0,,,,,,,,,,,,,,
terrence-jackson,Terrence Jackson,DB,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
terry-wright,Terry Wright,WR,,,,,,,,,,,,,,,,,,0.0,23.0,2.0,,,,,,
tirri-jones,Tirri Jones,QB,,,,,,,,,,,,,,,,,,,,,1.0,6.0,,,,
titus-swen,Titus Swen,RB,,,,,,,,,,,,,,,,,,0.0,69.0,13.0,,,0.0,72.0,,
tiyon-evans,Tiyon Evans,RB,,,,,,,,,,,,,,,,,,0.0,34.0,2.0,,,0.0,5.0,,
toa-taua,Toa Taua,RB,1.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,0.0,26.0,,
trae-barry-2,Trae Barry,LS,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,
trey-dudley-giles,Trey Dudley-Giles,DB,,,,,,11.0,,,,,,,,,,,,,,,,,,,,
trey-quinn,Trey Quinn,WR,,,,,,,,,,,,,,,,,,1.0,268.0,30.0,,,,,,
trey-williams,Trey Williams,RB,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,0.0,2.0,,
troy-williams,Troy Williams,QB,,1.0,,,,,,,5.0,,1.0,,,5.0,592.0,,,,,,,,1.0,74.0,,
ty-scott,Ty Scott,WR,,,,,,,,,,,,,,,,,,3.0,418.0,25.0,,,,,,
tyler-vaughns,Tyler Vaughns,WR,1.0,,,2.0,,,,,,,,,,,,,,3.0,503.0,45.0,,,,,,
tyre-williams,Tyre Williams,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
verlon-reed,Verlon Reed,QB,,,,,,,,,,,,,,,,,,,,,5.0,,,,,
vincent-wilkerson,Vincent Wilkerson,,,,,,,,,,,,,,,,,2.0,,,,,1.0,5.0,,,,
vinny-papale,Vinny Papale,WR,,,,,,,,,,,,,,,,,,5.0,304.0,36.0,,,0.0,-5.0,,
vyncint-smith,Vyncint Smith,WR,,,,,,,,,,,,,,,,,,1.0,101.0,6.0,,,,,,
wayne-gallman,Wayne Gallman,RB,,,,,,,,,,,,,,,,,,0.0,89.0,8.0,,,4.0,178.0,,
wes-hills,Wes Hills,RB,1.0,,,,,,,,,,,,,,,,,0.0,59.0,12.0,,,5.0,277.0,,
wes-saxton-jr,Wes Saxton Jr.,TE,,,,,,,,,,,,,,,,,,0.0,11.0,1.0,,,,,,
woody-brandom,Woody Brandom,TE,,,,,,,,,,,,,,,,,,0.0,11.0,1.0,,,,,,
xzavier-crawford-injured-reserve,Xzavier Crawford (Injured Reserve),WR,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
zaquandre-white,ZaQuandre White,RB,,,,,,,,,,,,,,,,,,0.0,1.0,1.0,,,0.0,74.0,,
zuri-davis,Zuri Davis,WR,,,,,,16.0,,,,,,,,,,,,,,,,,,,,
