player_id,player_name,positions,conversions,dst_touchdown,extra_point,field_goal_yards,fumble_recoveries,interceptions_lost,interceptions_made,lost_fumbles,missed,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks,tackles
polk-makai,"Polk, Makai",WR,,,,,,,,,,,,,5.0,1024.0,61.0,,,,
rambo-charleston,"RAMBO, Charleston",WR,,,,,,,,,,,,,5.0,808.0,61.0,,,,
rhymes-dominique,"RHYMES, Dominique",WR,,,,,,,,,,,,,2.0,1011.0,72.0,,,,
rourke-nathan,"ROURKE, Nathan",QB,,,,,,9.0,,,,4.0,1781.0,,,,,5.0,213.0,,
randle-jr-rodney,"Randle Jr., Rodney",CB/DB,,,,,,,,,,,,,,,,,,,5.0
rankin-justin,"Rankin, Justin",RB,,,,,,,,,,,,,1.0,52.0,9.0,5.0,765.0,,
ratkovich-clint,"Ratkovich, Clint",RB,,,,,,,,,,,,,1.0,58.0,6.0,0.0,8.0,,1.0
reavis-cj,"Reavis, C.J.",DB,,,,,,,0.0,,,,,,,,,,,0.0,6.0
reid-trevor,"Reid, Trevor",T/OL,,,,,,,,,,,,,,,,,,,1.0
rene-patrice,"Rene, Patrice",DB,,,,,,,,,,,,,,,,,,,6.0
richards-tyrell,"Richards, Tyrell",LB,,,,,,,0.0,,,,,,,,,,,0.0,3.0
richardson-steven,"Richardson, Steven",DL,,,,,,,1.0,,,,,,,,,,,,
richie-sindani,Richie Sindani,WR,,,,,,,,,,,,,1.0,210.0,20.0,,,,
roberson-tre,"Roberson, Tre",DB,,,,,,,0.0,,,,,,,,,,,0.0,3.0
robert-nkemdiche,Robert Nkemdiche,DT/DL,,,,,,,0.0,,,,,,,,,,,1.0,1.0
robertson-lucas,"Robertson, Lucas",RB,,,,,,,,,,,,,0.0,13.0,1.0,,,,
robertson-pete,"Robertson, Pete",DL,,,,,,,,,,,,,,,,,,,1.0
robustelli-joe,"Robustelli, Joe",WR,,,,,,,,,,,,,0.0,15.0,2.0,,,,
rouyer-maxime,"Rouyer, Maxime",LB,,,,,,,,,,,,,0.0,0.0,0.0,,,,1.0
ruffin-dionte,"Ruffin, Dionté",DB,,,,,,,0.0,,,,,,,,,,,0.0,2.0
rugamba-emmanuel,"Rugamba, Emmanuel",DB,,,,,,,,,,,,,,,,,,,6.0
ryquell-armstead,Ryquell Armstead,RB,,,,,,,,,,,,,0.0,298.0,38.0,3.0,862.0,,
schaffer-baker-kian,"SCHAFFER-BAKER, Kian",WR,,,,,,,,,,,,,4.0,735.0,52.0,0.0,-4.0,,1.0
schoen-dalton,"SCHOEN, Dalton",WR,,,,,,,,,,,,,0.0,159.0,14.0,,,,
smith-kiondre,"SMITH, Kiondre",WR,,,,,,,,,,,,,7.0,933.0,74.0,,,,
snead-tyler,"SNEAD, Tyler",WR,,,,,,,,,,,,,0.0,253.0,24.0,0.0,8.0,,
spieker-cole,"SPIEKER, Cole",WR,,,,,,,,,,,,,7.0,823.0,58.0,,,,
ssk-dst,SSK DST,DST,,,,,,,30.0,,,,,483.0,,,,,,52.0,
ssk-k,SSK K,K,,,38.0,1800.0,,,,,,,,,,,,,,,
ssk-qb,SSK QB,QB,,,,,,14.0,,,,27.0,5019.0,,,,,9.0,219.0,,
stanback-william,"STANBACK, William",RB,,,,,,,,,,,,,2.0,413.0,46.0,3.0,1175.0,,
sterns-jerreth,"STERNS, Jerreth",WR,,,,,,,,,,,,,2.0,492.0,39.0,,,,
stevens-tommy,"STEVENS, Tommy",WR/QB,,,,,,0.0,,,,0.0,24.0,,,,,10.0,237.0,,
streveler-chris,"STREVELER, Chris",QB,,,,,,1.0,,,,1.0,343.0,,0.0,0.0,0.0,10.0,272.0,,
sanders-bentlee,"Sanders, Bentlee",DB,,,,,,,0.0,,,,,,,,,,,0.0,5.0
sanders-caleb,"Sanders, Caleb",DL,,,,,,,,,,,,,,,,,,,5.0
sanders-kelle,"Sanders, Kelle",DL,,,,,,,0.0,,,,,,,,,,,0.0,1.0
sankey-darnell,"Sankey, Darnell",LB,,,,,,,0.0,,,,,,,,,,,0.0,5.0
sayles-casey,"Sayles, Casey",DT,,,,,,,0.0,,,,,,,,,,,1.0,3.0
sayles-marcus,"Sayles, Marcus",DB,,,,,,,,,,,,,,,,,,,3.0
shea-patterson,Shea Patterson,QB,,,,,,5.0,,,,6.0,1655.0,,,,,7.0,132.0,,
sheahan-jamieson,"Sheahan, Jamieson",P,,,,,,,,,,,,,,,,0.0,18.0,,1.0
smith-arkell,"Smith, Arkell",WR,,,,,,,,,,,,,1.0,148.0,13.0,,,,
smith-jerminic,"Smith, Jerminic",WR,,,,,,,,,,,,,0.0,110.0,5.0,0.0,-2.0,,
smith-robbie,"Smith, Robbie",DL,,,,,,,,,,,,,,,,,,,3.0
sopik-fraser,"Sopik, Fraser",LB,,,,,,,,,,,,,,,,,,,3.0
starczala-eric,"Starczala, Eric",OL,,,,,,,,,,,,,0.0,7.0,0.0,,,,
steven-dunbar-jr,Steven Dunbar Jr.,WR,,,,,,,,,,,,,6.0,1301.0,89.0,0.0,20.0,,
steward-hunter,"Steward, Hunter",OL,,,,,,,0.0,,,,,,,,,,,0.0,1.0
straker-melique,"Straker, Melique",LB,,,,,,,0.0,,,,,,,,,,,0.0,2.0
stubblefield-reggie,"Stubblefield, Reggie",DB,,,,,,,0.0,,,,,,,,,,,0.0,5.0
sutton-wesley,"Sutton, Wesley",DB,,,,,,,1.0,,,,,,,,,,,,
szott-jakub,"Szott, Jakub",OL,,,,,,,,,,,,,0.0,0.0,0.0,,,,
ternowski-tyler,"TERNOWSKI, Tyler",WR,,,,,,,,,,,,,0.0,67.0,6.0,,,,
terrell-jordan,"TERRELL, Jordan",RB,,,,,,,,,,,,,1.0,24.0,1.0,0.0,24.0,,
thomas-erlington-sean,"THOMAS ERLINGTON, Sean",RB,,,,,,,,,,,,,,,,,8.0,,
tor-dst,TOR DST,DST,,1.0,,,,,21.0,,,,,673.0,,,,,,44.0,
tor-k,TOR K,K,,,36.0,1877.0,,,,,,,,,,,,,,,
tor-qb,TOR QB,QB,,,,,,18.0,,,,22.0,4773.0,,,,,9.0,545.0,,
talbert-destin,"Talbert, Destin",DB,,,,,,,0.0,,,,,,,,,,,0.0,1.0
terrell-bonds,Terrell Bonds,CB/DB,,,,,,,0.0,,,,,,,,,,,0.0,3.0
terry-wilson,Terry Wilson,QB,,,,,,0.0,,,,0.0,4.0,,,,,4.0,36.0,,
teuhema-sione,"Teuhema, Sione",DT/DL,,,,,,,,,,,,,,,,,,,3.0
thomas-jake,"Thomas, Jake",DT,,,,,,,0.0,,,,,,,,,,,0.0,1.0
thomas-kelon,"Thomas, Kelon",DL,,,,,,,0.0,,,,,,,,,,,0.0,0.0
thomas-skyler,"Thomas, Skyler",DB,,,,,,,,,,,,,,,,,,,1.0
thompson-malcolm,"Thompson, Malcolm",DB,,,,,,,0.0,,,,,,,,,,,0.0,1.0
thurman-jameer,"Thurman, Jameer",LB,,,,,,,0.0,,,,,,0.0,0.0,0.0,,,0.0,5.0
tiavaasue-ron,"Tiavaasue, Ron",RB,,,,,,,,,,,,,0.0,9.0,1.0,,,,
trey-williams,Trey Williams,RB/WR/QB,,,,,,,,,,,,,0.0,0.0,0.0,,,,
tuck-james,"Tuck, James",FB,,,,,,,,,,,,,0.0,121.0,14.0,,,,
tucker-cole,"Tucker, Cole",WR,,,,,,,,,,,,,0.0,156.0,20.0,,,,
vaughters-james,"Vaughters, James",DL,,,,,,,0.0,,,,,,,,,,,0.0,3.0
white-jr-reggie,"WHITE JR., Reggie",WR,,,,,,,,,,,,,4.0,355.0,24.0,,,,
whyte-sean,"WHYTE, Sean",K,,,36.0,1480.0,,,,,,,,,,,,,,,
wolitarsky-drew,"WOLITARSKY, Drew",WR,,,,,,,,,,,,,1.0,403.0,33.0,,,,
wpg-dst,WPG DST,DST,,,,,,,16.0,,,,,480.0,,,,,,27.0,
wpg-k,WPG K,K,,,38.0,1891.0,,,,,2.0,,,,,,,,,,
wpg-qb,WPG QB,QB,,,,,,16.0,,,,18.0,4683.0,,,,,14.0,476.0,,
wallace-gabe,"Wallace, Gabe",OL,,,,,,,0.0,,,,,,,,,,,0.0,1.0
ward-lewis,"Ward, Lewis",K,,,22.0,1869.0,,,,,,,,,,,,,,,
white-tim,"White, Tim",WR,1.0,,,,,0.0,,,,0.0,3.0,,8.0,1164.0,74.0,0.0,37.0,,
whitehead-lucky,"Whitehead, Lucky",WR,,,,,,,,,,,,,1.0,115.0,14.0,0.0,11.0,,
whyte-gordon,"Whyte, Gordon",LS,,,,,,,0.0,,,,,,,,,,,0.0,1.0
wiggan-derek,"Wiggan, Derek",DL,,,,,,,0.0,,,,,,,,,,,1.0,2.0
wilborn-ray,"Wilborn, Ray",LB,,,,,,,0.0,,,,,,,,,,,0.0,5.0
williams-deontai,"Williams, Deontai",DB,,,,,,,0.0,,,,,,,,,,,0.0,5.0
williams-kobe,"Williams, Kobe",DB,,,,,,,0.0,,,,,,,,,,,0.0,2.0
williams-zack,"Williams, Zack",OL,,,,,,,1.0,,,,,,,,,,,,2.0
wilson-kyrie,"Wilson, Kyrie",LB,,,,,,,0.0,,,,,,,,,,,0.0,10.0
wilson-ontaria,"Wilson, Ontaria",WR,,,,,,,,,,,,,3.0,1026.0,71.0,,,,
woodmansey-coulter,"Woodmansey, Coulter",OL,,,,,,,0.0,,,,,,,,,,,0.0,1.0
woods-jamal,"Woods, Jamal",DT,,,,,,,0.0,,,,,,,,,,,0.0,5.0
woods-josh,"Woods, Josh",LB,,,,,,,,,,,,,,,,,,,7.0
