player_id,player_name,positions,3pt_other,3pt_pass,blocked_punt,conversions,dst_touchdown,extra_point,fumble_recoveries,interceptions,interceptions_lost,interceptions_made,lost_fumbles,made_19,made_29,made_39,made_49,made_50,missed,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks,safety
shareef-miller,Shareef Miller,DE,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
shawn-poindexter,Shawn Poindexter,WR,,,,,,,,,,,,,,,,,,,,,1.0,201.0,18.0,,,,
shea-patterson,Shea Patterson,QB,,,,1.0,,,,,5.0,,1.0,,,,,,,4.0,981.0,,,,,2.0,175.0,,
steven-rowzee,Steven Rowzee,G,,,,,,,,,,,,,,,,,,,,,0.0,-1.0,1.0,,,,
stevie-scott-iii,Stevie Scott III,RB,,,,2.0,,,,,,,,,,,,,,,,,0.0,106.0,9.0,3.0,309.0,,
tj-logan-jr,T.J. Logan Jr.,RB,,,,1.0,,,,,,,0.0,,,,,,,,,,0.0,67.0,8.0,2.0,99.0,,
tae-hayes,Tae Hayes,CB,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
tampa-bay-dst,Tampa Bay DST,DST,,,1.0,,1.0,,4.0,,,6.0,,,,,,,,,,195.0,,,,,,22.0,
tampa-bay-k,Tampa Bay K,K,,,,,,15.0,,,,,,0.0,3.0,5.0,1.0,0.0,5.0,,,,,,,,,,
tampa-bay-qb,Tampa Bay QB,QB,,,,,,,,2.0,11.0,,,,,,,,,14.0,1694.0,,,,,1.0,354.0,,
taylor-bertolet,Taylor Bertolet,K,,,,,,11.0,,,,,,0.0,5.0,3.0,2.0,2.0,2.0,,,,,,,,,,
taywan-taylor,Taywan Taylor,WR,,,,,,,,,,,1.0,,,,,,,,,,0.0,325.0,25.0,,,,
tevon-coney,Te\'Von Coney,OLB/LB,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
teo-redding,Teo Redding,WR,,,,,,,,,,,,,,,,,,,,,1.0,249.0,17.0,,,,
terrell-bonds,Terrell Bonds,CB/DB,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
tomasi-laulile,Tomasi Laulile,DT,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
tony-brooks-james,Tony Brooks-James,RB,,,,,,,,,,,,,,,,,,,,,1.0,51.0,9.0,0.0,226.0,,
toree-boyd,Toree Boyd,OL,,,,,,,,,0.0,,,,,,,,,0.0,17.0,,,,,,,,
tra-minter,Tra Minter,RB,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,17.0,,
travis-feeney,Travis Feeney,DL/OLB/DB/LB,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
tre-walker,Tre Walker,WR,,,,,,,,,,,,,,,,,,,,,1.0,362.0,33.0,,,,
trey-williams,Trey Williams,RB,,,,0.0,,,,,,,0.0,,,,,,,,,,0.0,138.0,27.0,2.0,605.0,,
tyler-palka,Tyler Palka,WR,,,,,,,,,,,,,,,,,,,,,0.0,188.0,18.0,,,,
tyler-rausa,Tyler Rausa,K,,,,,,15.0,,,,,,0.0,3.0,5.0,1.0,0.0,5.0,,,,,,,,,,
tyler-simmons,Tyler Simmons,WR,,,,,,,,,,,,,,,,,,,,,1.0,89.0,8.0,0.0,13.0,,
victor-bolden-jr,Victor Bolden Jr.,WR,,,,0.0,,,,,,,1.0,,,,,,,,,,1.0,425.0,43.0,0.0,0.0,,
vinny-papale,Vinny Papale,WR,,,,0.0,,,,,,,,,,,,,,,,,0.0,244.0,19.0,0.0,-5.0,,
vontae-diggs,Vontae Diggs,DB/OLB/LB,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
wes-saxton-jr,Wes Saxton Jr.,TE,,,,,,,,,,,,,,,,,,,,,0.0,10.0,2.0,,,,
will-likely,Will Likely,CB,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
willie-henry,Willie Henry,DT,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
woody-brandom,Woody Brandom,TE,,,,,,,,,,,0.0,,,,,,,,,,0.0,129.0,11.0,,,,
zach-smith,Zach Smith,QB,,,,,,,,,2.0,,,,,,,,,2.0,134.0,,,,,0.0,54.0,,
