player_id,player_name,positions,1pt_conversion,3pt_other,3pt_pass,blocked_punt,conversions,dst_touchdown,field_goal_yards,fumble_recoveries,interceptions_lost,interceptions_made,lost_fumbles,missed,pass_defended,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks,tackles
josh-gordon,Josh Gordon,WR,0.0,,1.0,,1.0,,,,,,,,1.0,,,,4.0,540.0,38.0,,,,2.0
josh-hammond,Josh Hammond,WR,0.0,,,,4.0,,,,,,,,,,,,1.0,331.0,34.0,,2.0,,
josh-hawkins,Josh Hawkins,DB,,,,,,,,,,,,,2.0,,,,,,,,,,7.0
josh-malone,Josh Malone,WR,,,,,,,,,,,,,,,,,,18.0,1.0,,,,
joshua-allen,Joshua Allen,DB,,,,,,,,,,,,,,,,,,,,,,,2.0
josiah-coatney,Josiah Coatney,DL,,,,,,,,1.0,,,,,,,,,,,,,,0.5,19.0
jovani-haskins,Jovani Haskins,TE,,,,,,,,,,,,,,,,,,5.0,1.0,,,,
justin-smith,Justin Smith,WR,0.0,,,,0.0,,,,,,,,,,,,1.0,238.0,16.0,,,,
juwan-green,Juwan Green,WR,0.0,1.0,,,1.0,,,,,,,,,,,,6.0,420.0,29.0,,,,
kd-cannon,K.D. Cannon,WR,0.0,,,,1.0,,,,,,,,,,,,2.0,161.0,4.0,,,,
kaleb-eleby,Kaleb Eleby,QB,,,,,,,,,,,,,,,28.0,,,,,,6.0,,
kalen-ballage,Kalen Ballage,RB,,,,,,,,,,,,,,,,,,82.0,11.0,,149.0,,
kareem-walker,Kareem Walker,RB,0.0,,,,0.0,,,,,,,,,,,,,18.0,4.0,2.0,92.0,,
kary-vincent-jr,Kary Vincent Jr.,DB/CB,,,,,,,,,,,,,3.0,,,,,,,,,,5.0
keith-ford,Keith Ford,RB,,,,,,,,,,,,,,,,,,,,,35.0,,1.0
kelvin-mcknight,Kelvin McKnight,WR,,,,,,,,,,,,,,,,,,37.0,5.0,,,,
kelvin-taylor,Kelvin Taylor,RB,,,,,,,,,,,,,,,,,,6.0,2.0,,84.0,,1.0
kenneth-farrow,Kenneth Farrow,RB,,,,,,,,,,,,,,,,,,8.0,2.0,,68.0,,
kentrell-brice,Kentrell Brice,DB/SAF,,,,,,,,,,1.0,,,2.0,,,,,,,,,0.5,25.0
kevin-anderson,Kevin Anderson,QB,,,,,,,,,,,,,,,5.0,,,,,,,,
kevin-atkins,Kevin Atkins,DL/DT,,,,,,,,,,,,,,,,,,,,,,1.0,12.5
keylon-kennedy,Keylon Kennedy,DB/CB,,,,,,,,,,2.0,,,4.0,,,,,,,,,,36.0
kurt-benkert,Kurt Benkert,QB,0.0,,,,0.0,,,,1.0,,1.0,,,1.0,179.0,,,,,,7.0,,
kyle-sloter,Kyle Sloter,QB,0.0,,,,0.0,,,,4.0,,1.0,,,1.0,499.0,,,,,,27.0,,
laron-stokes,LaRon Stokes,DL/DT/DE,,,,,,,,,,,,,,,,,,,,,,2.0,26.5
lacale-london,Lacale London,DL/DE,,,,,,,,1.0,,,,,1.0,,,,,,,,,3.0,33.5
lakiem-williams,Lakiem Williams,LB,,,,,,,,,,,,,,,,,,,,,,,30.5
lance-lenoir-jr,Lance Lenoir Jr.,WR,,,,,,,,,,,,,,,,,,77.0,8.0,,,,
landen-akers,Landen Akers,WR,0.0,,,,0.0,,,,,,,,,,,,,303.0,31.0,,1.0,,
lavert-hill,Lavert Hill,DB/CB,,,,,,,,,,3.0,,,2.0,,,,,,,,,,18.0
leddie-brown,Leddie Brown,RB,,,,,,,,,,,,,,,,,,104.0,12.0,,179.0,,
linden-stephens,Linden Stephens,DB,,,,,,,,,,,,,3.0,,,,,,,,,,21.5
logan-carter,Logan Carter,TE,0.0,,,,0.0,,,,,,,,,,,,,100.0,13.0,,,,
lujuan-winningham,LuJuan Winningham,WR,,,,,,,,,,,,0.0,,,,,2.0,158.0,11.0,,,,
lucky-jackson,Lucky Jackson,WR,0.0,,,,4.0,,,,,,1.0,,,,,,5.0,572.0,36.0,,,,
luis-perez,Luis Perez,QB,0.0,,,,3.0,,,,7.0,,,,,11.0,1772.0,,,,,,61.0,,
lukas-denis,Lukas Denis,DB/FS/S,,,,,,,,,,2.0,,,5.0,,,,,,,,,1.0,35.0
luq-barcoo,Luq Barcoo,DB/CB,0.0,,,,0.0,,,1.0,,1.0,,,13.0,,,,,,,,,1.0,30.5
manny-wilkins,Manny Wilkins,QB,,,,,,,,,,,,,,,,,,,,,,,2.0
marcell-ateman,Marcell Ateman,WR,0.0,,,,2.0,,,,,,,,,,,,,259.0,19.0,,,,
marcus-murphy-2,Marcus Murphy,DB,,,,,,,,1.0,,1.0,,,2.0,,,,,,,,,,25.0
martavis-bryant,Martavis Bryant,WR,0.0,,,,2.0,,,,,,1.0,,,,,,,154.0,14.0,,0.0,,1.0
mataeo-durant,Mataeo Durant,RB,,,,,,,,,,,1.0,,,,,,,78.0,11.0,,117.0,,1.0
mathew-sexton,Mathew Sexton,WR,1.0,,,,0.0,,,,,,,,,,0.0,,,364.0,23.0,,8.0,,
matt-elam,Matt Elam,DB,,,,,,,,,,1.0,,,5.0,,,,,,,,,,29.0
matthew-mccrane,Matthew McCrane,K,,,,,,,413.0,,,,,4.0,,,,,,,,,,,
maurice-smith,Maurice Smith,DB,,,,,,,,,,1.0,,,2.0,,,,,,,,,2.5,34.0
max-borghi,Max Borghi,RB,0.0,,,,0.0,,,,,,,,,,,,,139.0,21.0,6.0,310.0,,
michael-carrizosa,Michael Carrizosa,P/K,,,,,,,,1.0,,,,,,,,,,,,,2.0,,
michael-joseph,Michael Joseph,DB/CB,,,,,,,,1.0,,2.0,,,5.0,,,,,,,,,,31.0
mike-hampton,Mike Hampton,DB/CB,,,,,,,,,,,,0.0,6.0,,,,,,,,,,36.0
mike-lee,Mike Lee,DB,,,,,,,,,,,,,1.0,,,,,,,,,1.0,26.0
mike-rose,Mike Rose,DL/LB/MLB/DB,,,,,,,,1.0,,,,,,,,,,,,,,,33.5
mike-tverdov,Mike Tverdov,DL,,,,,,,,,,,,,1.0,,,,,,,,,2.0,14.5
mister-harriel,Mister Harriel,DB/FS,,,,,,,,,,,,,1.0,,,,,28.0,2.0,,,,12.0
morgan-ellison,Morgan Ellison,RB,0.0,,,,0.0,,,,,,2.0,,,,,,,38.0,7.0,1.0,254.0,,1.0
mykael-wright,Mykael Wright,DB,,,,,,,,,,,,,2.0,,,,,,,,,,12.0
najeem-hosein,Najeem Hosein,DB,,,,,,,,,,1.0,,,3.0,,,,,,,,,,36.0
nate-becker,Nate Becker,TE,,,,,,,,,,,1.0,,,,,,1.0,67.0,8.0,,,,
nate-meadors,Nate Meadors,DB/FS,,,,,,,,,,1.0,,,2.0,,,,,,,,,,28.0
nick-coe,Nick Coe,DL,,,,,,,0.0,,,,,2.0,,,,,,,,,,1.0,14.0
nick-holley,Nick Holley,RB/WR,0.0,,,,0.0,,,,,,,,1.0,,,,1.0,192.0,14.0,,,,2.0
nick-tiano,Nick Tiano,QB,0.0,,,,2.0,,,,2.0,,,,,1.0,199.0,,,,,,51.0,,
nijuel-hill,Nijuel Hill,DB,,,,,,,,,,,,,2.0,,,,,,,,,,15.0
niko-lalos,Niko Lalos,DL/DE,0.0,,,,0.0,,,,,1.0,,,3.0,,,,,,,,,1.5,32.5
otaro-alaka,Otaro Alaka,LB,,,,,,,,,,,,,,,,,,,,,,,0.5
pj-dawson,P.J. Dawson,LB,,,,,,,,,,,,,1.0,,,,,,,,,,8.0
pj-hall,P.J. Hall,DL/DE,,,,,,,,,,,,,,,,,,,,,,,5.0
paxton-lynch,Paxton Lynch,QB,0.0,,,,0.0,,,,1.0,,1.0,,,4.0,748.0,,,,1.0,1.0,68.0,,
phillip-lindsay,Phillip Lindsay,RB,1.0,,,,1.0,,,,,,,,,,,,,8.0,3.0,1.0,70.0,,
pita-taumoepenu,Pita Taumoepenu,LB/OLB,,,,,,,,,,,,,2.0,,,,,,,,6.0,6.5,24.0
pooka-williams,Pooka Williams,RB/WR,,,,,,,,,,,,,,,,,,,,,-1.0,,1.0
quinten-dormady,Quinten Dormady,QB,0.0,,,,3.0,,,,5.0,,3.0,,,10.0,1507.0,,,,,4.0,97.0,,
quinton-flowers,Quinton Flowers,QB,0.0,,,,0.0,,,,,,,,,,,,,,,1.0,2.0,,
qwynnterrio-cole,Qwynnterrio Cole,DB/FS,,,,,,,,,,3.0,1.0,,2.0,,,,,,,,,,46.5
raleigh-texada,Raleigh Texada,DB,,,,,,,,,,,,,5.0,,,,,,,,-1.0,,24.0
rannell-hall-2,Rannell Hall,WR,0.0,,,,0.0,,,,,,,,,,,,,82.0,10.0,,21.0,,
ranthony-texada,Ranthony Texada,DB,,,,,,,,,,,,,1.0,,,,,,,,,1.0,18.0
reid-sinnett,Reid Sinnett,QB,1.0,,,,0.0,,,,1.0,,,,,1.0,97.0,,,,,,10.0,,
renegades-dst,Renegades DST,DST,,,,,,3.0,,9.0,,14.0,,,,,,176.0,,,,,,19.0,
renegades-k,Renegades K,K,,,,,,,526.0,,,,,3.0,,,,,,,,,,,
renegades-qb,Renegades QB,QB,0.0,,,,2.0,,,,11.0,,3.0,,,5.0,1880.0,,,,,,128.0,,
riko-jeffers,Riko Jeffers,LB,,,,,,,,,,,,,1.0,,,,,,,,,,29.0
robert-windsor,Robert Windsor,DL,,,,,,,,,,,,,,,,,,,,,,1.0,15.0
rod-smith,Rod Smith,RB,0.0,,,,1.0,,,,,,,,,,,,1.0,116.0,14.0,2.0,274.0,,
rojesterman-farris,Rojesterman Farris,DB,,,,,,,,1.0,,,,,1.0,,,,,,,,,,6.0
roman-tatum,Roman Tatum,DB,,,,,,,,,,,,,1.0,,,,,,,,,,
roughnecks-dst,Roughnecks DST,DST,,,,,,5.0,,9.0,,12.0,,,,,,176.0,,,,,,35.0,
roughnecks-k,Roughnecks K,K,,,,,,,297.0,,,,,1.0,,,,,,,,,,,
