player_id,player_name,positions,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,fielding_catches,fielding_runouts,match_played
cr-knott,CR Knott,,193.0,29.0,4.0,105.0,283.0,10.0,222.0,0.0,0.0,287.0,10.0,10.0,4.0,1.0,17.0
d-brown,D Brown,,,,,,,,72.0,0.0,2.0,53.0,4.0,3.0,1.0,,3.0
dr-gibson,DR Gibson,,78.0,15.0,5.0,52.0,115.0,4.0,195.0,1.0,3.0,243.0,10.0,5.0,5.0,,13.0
e-hayward,E Hayward,,6.0,0.0,1.0,20.0,4.0,0.0,132.0,0.0,0.0,186.0,5.0,2.0,4.0,,9.0
e-hoskin,E Hoskin,,1.0,0.0,1.0,11.0,1.0,0.0,36.0,0.0,4.0,52.0,2.0,2.0,1.0,,4.0
e-johnston,E Johnston,,21.0,4.0,0.0,2.0,28.0,1.0,,,,,,,,,1.0
e-kershaw,E Kershaw,,9.0,0.0,1.0,21.0,4.0,0.0,,,,,,,1.0,,4.0
e-de-broughe,E de Broughe,,67.0,12.0,1.0,14.0,89.0,1.0,,,,,,,2.0,,5.0
ea-burns,EA Burns,,147.0,12.0,0.0,54.0,152.0,5.0,31.0,0.0,0.0,51.0,1.0,3.0,10.0,,14.0
ea-perry,EA Perry,,377.0,71.0,2.0,16.0,496.0,12.0,131.0,0.0,0.0,165.0,13.0,8.0,5.0,2.0,13.0
ej-villani,EJ Villani,,279.0,43.0,3.0,27.0,324.0,2.0,,,,,,,5.0,,12.0
g-prestwidge,G Prestwidge,,42.0,7.0,1.0,47.0,48.0,0.0,187.0,0.0,0.0,291.0,10.0,10.0,11.0,1.0,12.0
g-redmayne,G Redmayne,,326.0,46.0,0.0,29.0,354.0,0.0,,,,,,,11.0,10.0,16.0
