player_id,player_name,positions,def_ff,def_fr,def_pd,def_sacks,def_tackles,fg_att,fg_made,gp,kr_no,kr_td,kr_yds,pass_att,pass_cmp,pass_int,pass_td,pass_yds,pat_att,pat_made,pr_no,pr_td,pr_yds,punt_no,punt_yds,recv_rec,recv_td,recv_yds,rush_att,rush_td,rush_yds
fabian-michael-kratz,Fabian Michael Kratz,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,
fabian-spilsteser,Fabian Spilsteser,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
fabian-weigel,Fabian Weigel,WR,,,,,,,,7.0,,,,,,,,,,,,,,,,5.0,,40.0,,,
falco-paris,Falco Paris,,,,,,,,,6.0,,,,,,,,,,,1.0,,,,,,,,,,
falk-reuter,Falk Reuter,LB/DB,,,2.0,,10.0,,,7.0,,,,,,,,,,,,,,,,,,,,,
farid-jansen,Farid Jansen,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,
felix-haufe,Felix Haufe,LB,,,,1.0,6.0,,,8.0,,,,,,,,,,,,,,,,,,,,,
femi-durojaiye,Femi Durojaiye,LB,,1.0,,1.0,6.0,,,4.0,,,,,,,,,,,,,,,,,,,,,
fernando-lowery,Fernando Lowery,LB,,,4.0,,16.0,,,6.0,,,,,,,,,,,,,,1.0,39.0,,,,,,
filip-koskowski,Filip Kłoskowski,LB,,,,,5.0,,,4.0,,,,,,,,,,,,,,,,,,,,,
filip-liberio-filipovic,Filip-Liberio Filipovic,,,,,0.5,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,
finn-seibert,Finn Seibert,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,
firat-aybek,Firat Aybek,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,
florian-barthel,Florian Barthel,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
florian-borger,Florian Borger,LB,,,,,6.0,,,6.0,,,,,,,,,,,,,,,,,,,,,
florian-breitenbach,Florian Breitenbach,,,,1.0,1.0,3.0,,,5.0,,,,,,,,,,,,,,,,,,,,,
florian-eichhorn,Florian Eichhorn,TE/WR,,,,,1.0,,,11.0,2.0,,7.0,,,,,,,,,,,,,12.0,1.0,185.0,,,
florian-schneikert,Florian Schneikert,RB,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,15.0,1.0,75.0
frank-atunlese,Frank Atunlese,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,
frederic-latour,Frederic Latour,,,,,,1.0,,,7.0,,,,,,,,,,,,,,,,4.0,,31.0,,,
frederick-wilhelm-weinreich,Frederick Wilhelm  Weinreich,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,
gnanguy,G.Nanguy,,,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,
gabriel-wiek,Gabriel Wiek,LB,,,,1.0,9.0,,,8.0,,,,,,,,,,,,,,,,,,,,,
gennadiy-adams,Gennadiy Adams,RB,,,,,,,,7.0,,,,,,,,,,,,,,,,11.0,1.0,109.0,70.0,4.0,381.0
gerald-ameln,Gerald Ameln,RB,,,,,1.0,,,11.0,1.0,,7.0,,,,,,,,,,,,,2.0,1.0,25.0,83.0,2.0,385.0
gerlach-florian,Gerlach Florian,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,
giacomo-prati,Giacomo Prati,LB,,,,1.5,22.0,,,10.0,,,,,,,,,,,,,,,,,,,,,
