game_id,date,season,week,league,away,home,assists,blocks,def_rebounds,fg3_pct,fg3a,fg3m,fg_pct,fga,fgm,fouls,ft_pct,fta,ftm,minutes,off_rebounds,plus_minus,points,rebounds,steals,turnovers
WNBA_202506190NYL,2025-06-19,2025,1,WNBA,PHO,NYL,,,,,,,,,,2.0,0.5,2.0,1.0,3.7666666666666666,,-7.0,1.0,,,
WNBA_202506220SEA,2025-06-22,2025,1,WNBA,NYL,SEA,1.0,,2.0,,,,,2.0,,2.0,1.0,2.0,2.0,5.066666666666666,,-1.0,2.0,2.0,,
WNBA_202506250GSV,2025-06-25,2025,1,WNBA,NYL,GSV,1.0,,,,,,,,,1.0,,,,4.883333333333333,,5.0,,,,
WNBA_202506270PHO,2025-06-27,2025,1,WNBA,NYL,PHO,,,4.0,,,,0.625,8.0,5.0,,,,,14.733333333333333,1.0,7.0,10.0,5.0,,1.0
WNBA_202506290ATL,2025-06-29,2025,1,WNBA,NYL,ATL,2.0,,5.0,,,,0.667,6.0,4.0,2.0,,,,21.0,1.0,9.0,8.0,6.0,1.0,2.0
WNBA_202507030NYL,2025-07-03,2025,1,WNBA,LAS,NYL,2.0,,2.0,,,,0.6,5.0,3.0,2.0,0.333,3.0,1.0,11.8,2.0,10.0,7.0,4.0,2.0,
WNBA_202507060NYL,2025-07-06,2025,1,WNBA,SEA,NYL,,,,,,,,1.0,,,,,,2.466666666666667,,,,,,
WNBA_202507130NYL,2025-07-13,2025,1,WNBA,ATL,NYL,1.0,,3.0,,1.0,,0.5,6.0,3.0,2.0,0.75,4.0,3.0,15.833333333333334,3.0,7.0,9.0,6.0,,
WNBA_202507160NYL,2025-07-16,2025,1,WNBA,IND,NYL,1.0,1.0,2.0,0.5,2.0,1.0,0.5,6.0,3.0,3.0,1.0,2.0,2.0,18.666666666666668,,3.0,9.0,2.0,3.0,2.0
WNBA_202507220NYL,2025-07-22,2025,1,WNBA,IND,NYL,,,3.0,,,,0.833,6.0,5.0,1.0,1.0,3.0,3.0,17.466666666666665,2.0,6.0,13.0,5.0,2.0,2.0
WNBA_202507260NYL,2025-07-26,2025,1,WNBA,LAS,NYL,,,,,,,0.5,4.0,2.0,1.0,0.75,4.0,3.0,13.05,1.0,-3.0,7.0,1.0,1.0,
WNBA_202507280DAL,2025-07-28,2025,1,WNBA,NYL,DAL,,,2.0,,,,0.6,5.0,3.0,,0.667,6.0,4.0,16.5,2.0,-12.0,10.0,4.0,,1.0
WNBA_202507300MIN,2025-07-30,2025,1,WNBA,NYL,MIN,2.0,,,,,,0.7,10.0,7.0,4.0,0.5,2.0,1.0,17.466666666666665,2.0,-3.0,15.0,2.0,1.0,1.0
WNBA_202508010CON,2025-08-01,2025,1,WNBA,NYL,CON,,,1.0,,1.0,,0.286,7.0,2.0,1.0,1.0,2.0,2.0,17.166666666666668,,-20.0,6.0,1.0,1.0,3.0
WNBA_202508030CON,2025-08-03,2025,1,WNBA,NYL,CON,1.0,,,,,,0.333,3.0,1.0,2.0,,,,6.8,,7.0,2.0,,1.0,
WNBA_202508050NYL,2025-08-05,2025,1,WNBA,DAL,NYL,,1.0,5.0,,,,0.333,3.0,1.0,1.0,1.0,2.0,2.0,10.533333333333333,,6.0,4.0,5.0,,
WNBA_202508080DAL,2025-08-08,2025,1,WNBA,NYL,DAL,,,1.0,,,,0.5,4.0,2.0,2.0,1.0,4.0,4.0,13.05,,-1.0,8.0,1.0,,
WNBA_202508100NYL,2025-08-10,2025,1,WNBA,MIN,NYL,1.0,,2.0,,,,0.667,6.0,4.0,3.0,1.0,1.0,1.0,13.75,3.0,-6.0,9.0,5.0,1.0,2.0
WNBA_202508280NYL,2025-08-28,2025,1,WNBA,WAS,NYL,2.0,,3.0,1.0,2.0,2.0,0.462,13.0,6.0,1.0,1.0,2.0,2.0,19.633333333333333,2.0,15.0,16.0,5.0,1.0,
WNBA_202508300PHO,2025-08-30,2025,1,WNBA,NYL,PHO,,,1.0,,1.0,,0.5,2.0,1.0,1.0,,,,6.666666666666667,,-9.0,2.0,1.0,,
WNBA_202509020GSV,2025-09-02,2025,1,WNBA,NYL,GSV,1.0,,,,1.0,,,1.0,,1.0,,,,3.1333333333333333,,-4.0,,,,
WNBA_202509050SEA,2025-09-05,2025,1,WNBA,NYL,SEA,1.0,,1.0,,,,,,,,0.5,2.0,1.0,4.016666666666667,,6.0,1.0,1.0,1.0,1.0
WNBA_202509090NYL,2025-09-09,2025,1,WNBA,WAS,NYL,,,,,1.0,,0.5,2.0,1.0,,,,,2.216666666666667,,-6.0,2.0,,,
WNBA_202509110CHI,2025-09-11,2025,1,WNBA,NYL,CHI,2.0,,3.0,,1.0,,,6.0,,1.0,,,,14.716666666666667,2.0,-10.0,,5.0,,2.0
WNBA_202509170NYL,2025-09-17,2025,1,WNBA,PHO,NYL,,,1.0,,,,1.0,2.0,2.0,,,2.0,,6.866666666666667,1.0,-1.0,4.0,2.0,2.0,
